date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-02-12 08:00:41,5,6944,2014-02-12 08:00:42,NULL,NULL,2014-02-12 08:02:15
2014-02-12 08:00:44,0,6947,2014-02-12 08:00:45,NULL,NULL,2014-02-12 08:06:31
2014-02-12 08:01:09,20,7168,2014-02-12 08:01:10,NULL,NULL,2014-02-12 08:02:10
2014-02-12 08:01:24,9,9117,2014-02-12 08:01:25,2014-02-12 08:03:13,NULL,2014-02-12 08:04:56
2014-02-12 08:02:28,20,6940,2014-02-12 08:02:29,NULL,NULL,2014-02-12 08:04:34
2014-02-12 08:02:33,5,8076,2014-02-12 08:02:34,NULL,NULL,2014-02-12 08:06:31
2014-02-12 08:03:07,20,8393,2014-02-12 08:03:08,NULL,NULL,2014-02-12 08:06:33
2014-02-12 08:03:12,5,9508,2014-02-12 08:03:13,NULL,NULL,2014-02-12 08:06:12
2014-02-12 08:03:29,20,8483,2014-02-12 08:03:30,NULL,NULL,2014-02-12 08:03:48
2014-02-12 08:03:44,20,8594,2014-02-12 08:03:45,NULL,NULL,2014-02-12 08:10:59
2014-02-12 08:04:00,6,8588,2014-02-12 08:04:01,NULL,NULL,2014-02-12 08:06:32
2014-02-12 08:04:14,20,8189,2014-02-12 08:04:15,NULL,NULL,2014-02-12 08:14:57
2014-02-12 08:04:54,5,9425,2014-02-12 08:04:55,NULL,NULL,2014-02-12 08:08:30
2014-02-12 08:04:55,20,6917,2014-02-12 08:04:56,NULL,NULL,2014-02-12 08:12:03
2014-02-12 08:05:05,20,6944,2014-02-12 08:05:06,NULL,NULL,2014-02-12 08:06:42
2014-02-12 08:05:22,20,8392,2014-02-12 08:05:23,NULL,NULL,2014-02-12 08:06:52
2014-02-12 08:05:45,0,8483,2014-02-12 08:05:46,NULL,NULL,2014-02-12 08:06:09
2014-02-12 08:05:46,5,6940,2014-02-12 08:05:47,NULL,NULL,2014-02-12 08:07:24
2014-02-12 08:06:12,5,9117,2014-02-12 08:06:13,NULL,NULL,2014-02-12 08:08:27
2014-02-12 08:06:37,2,6935,2014-02-12 08:06:38,NULL,NULL,2014-02-12 08:09:40
