date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-04-28 08:00:53,20,6975,2014-04-28 08:00:54,NULL,NULL,2014-04-28 08:04:07
2014-04-28 08:01:00,20,6940,2014-04-28 08:01:01,NULL,NULL,2014-04-28 08:02:54
2014-04-28 08:01:11,5,6949,2014-04-28 08:01:12,NULL,NULL,2014-04-28 08:02:39
2014-04-28 08:01:18,2,8189,2014-04-28 08:01:19,NULL,NULL,2014-04-28 08:06:32
2014-04-28 08:01:30,20,8076,2014-04-28 08:01:31,NULL,NULL,2014-04-28 08:06:35
2014-04-28 08:01:37,9,9575,2014-04-28 08:01:38,2014-04-28 08:03:02,2014-04-28 08:03:54,2014-04-28 08:05:36
2014-04-28 08:01:53,2,8190,2014-04-28 08:01:54,NULL,NULL,2014-04-28 08:03:15
2014-04-28 08:02:07,20,9345,2014-04-28 08:02:08,NULL,NULL,2014-04-28 08:09:25
2014-04-28 08:02:23,20,6947,2014-04-28 08:02:24,NULL,NULL,2014-04-28 08:10:07
2014-04-28 08:02:50,5,6935,2014-04-28 08:02:51,2014-04-28 08:08:07,NULL,2014-04-28 08:09:34
2014-04-28 08:03:01,20,6930,2014-04-28 08:03:02,NULL,NULL,2014-04-28 08:06:37
2014-04-28 08:03:04,20,9425,2014-04-28 08:03:05,NULL,NULL,2014-04-28 08:07:41
2014-04-28 08:03:05,2,6944,2014-04-28 08:03:06,NULL,NULL,2014-04-28 08:05:36
2014-04-28 08:03:16,20,9118,2014-04-28 08:03:17,NULL,NULL,2014-04-28 08:08:06
2014-04-28 08:03:24,20,8514,2014-04-28 08:03:25,NULL,NULL,2014-04-28 08:03:47
2014-04-28 08:03:35,5,9508,2014-04-28 08:03:36,NULL,NULL,2014-04-28 08:09:34
2014-04-28 08:03:39,20,9423,2014-04-28 08:03:40,NULL,NULL,2014-04-28 08:07:29
2014-04-28 08:04:09,5,9694,2014-04-28 08:04:10,NULL,NULL,2014-04-28 08:09:34
2014-04-28 08:04:23,20,8861,2014-04-28 08:04:24,NULL,NULL,2014-04-28 08:06:01
2014-04-28 08:04:27,5,6949,2014-04-28 08:04:28,NULL,NULL,2014-04-28 08:09:42
2014-04-28 08:04:29,5,7823,2014-04-28 08:04:30,NULL,NULL,2014-04-28 08:09:13
2014-04-28 08:04:36,20,6940,2014-04-28 08:04:37,NULL,NULL,2014-04-28 08:07:24
2014-04-28 08:04:40,2,8190,2014-04-28 08:04:41,NULL,NULL,2014-04-28 08:05:58
2014-04-28 08:04:45,20,8514,2014-04-28 08:04:46,NULL,NULL,2014-04-28 08:05:22
2014-04-28 08:04:49,9,9575,2014-04-28 08:04:50,NULL,NULL,2014-04-28 08:09:48
2014-04-28 08:05:19,20,6975,2014-04-28 08:05:20,2014-04-28 08:06:16,2014-04-28 08:06:47,2014-04-28 08:10:15
2014-04-28 08:05:59,20,8373,2014-04-28 08:06:00,NULL,NULL,2014-04-28 08:06:12
2014-04-28 08:06:01,20,8514,2014-04-28 08:06:02,NULL,NULL,2014-04-28 08:06:54
2014-04-28 08:07:03,20,6944,2014-04-28 08:07:04,NULL,NULL,2014-04-28 08:11:13
2014-04-28 08:07:27,20,8190,2014-04-28 08:07:28,NULL,NULL,2014-04-28 08:11:45
2014-04-28 08:07:39,5,8861,2014-04-28 08:07:40,NULL,NULL,2014-04-28 08:12:27
2014-04-28 08:07:41,5,8373,2014-04-28 08:07:42,NULL,NULL,2014-04-28 08:12:19
2014-04-28 08:07:54,5,8189,2014-04-28 08:07:55,NULL,NULL,2014-04-28 08:09:14
2014-04-28 08:08:11,20,8076,2014-04-28 08:08:12,2014-04-28 08:10:08,2014-04-28 08:11:00,2014-04-28 08:15:11
2014-04-28 08:08:17,20,6930,2014-04-28 08:08:18,NULL,NULL,2014-04-28 08:12:29
2014-04-28 08:08:33,20,6975,2014-04-28 08:08:34,NULL,NULL,2014-04-28 08:14:36
2014-04-28 08:08:35,2,8514,2014-04-28 08:08:36,NULL,NULL,2014-04-28 08:08:59
2014-04-28 08:08:36,20,6940,2014-04-28 08:08:37,NULL,NULL,2014-04-28 08:10:06
2014-04-28 08:09:00,2,9423,2014-04-28 08:09:01,NULL,NULL,2014-04-28 08:10:47
2014-04-28 08:09:14,20,9425,2014-04-28 08:09:15,NULL,NULL,2014-04-28 08:16:27
2014-04-28 08:09:31,2,9118,2014-04-28 08:09:32,NULL,NULL,2014-04-28 08:13:05
2014-04-28 08:10:17,5,8514,2014-04-28 08:10:18,NULL,NULL,2014-04-28 08:13:22
2014-04-28 08:10:25,2,7823,2014-04-28 08:10:26,NULL,NULL,2014-04-28 08:15:32
2014-04-28 08:10:26,5,8189,2014-04-28 08:10:27,NULL,NULL,2014-04-28 08:20:40
2014-04-28 08:10:32,5,9345,2014-04-28 08:10:33,NULL,NULL,2014-04-28 08:14:21
2014-04-28 08:10:46,20,6949,2014-04-28 08:10:47,NULL,NULL,2014-04-28 08:13:13
2014-04-28 08:10:58,5,9508,2014-04-28 08:10:59,NULL,NULL,2014-04-28 08:14:42
2014-04-28 08:11:11,5,9694,2014-04-28 08:11:12,NULL,NULL,2014-04-28 08:14:19
2014-04-28 08:11:27,5,9575,2014-04-28 08:11:28,NULL,NULL,2014-04-28 08:12:52
2014-04-28 08:11:27,20,6947,2014-04-28 08:11:28,NULL,NULL,2014-04-28 08:14:25
2014-04-28 08:11:41,20,6940,2014-04-28 08:11:42,NULL,NULL,2014-04-28 08:15:08
2014-04-28 08:12:39,5,6935,2014-04-28 08:12:40,NULL,NULL,2014-04-28 08:17:56
2014-04-28 08:12:41,2,9423,2014-04-28 08:12:41,NULL,NULL,2014-04-28 08:14:52
2014-04-28 08:12:43,5,8076,2014-04-28 08:12:44,NULL,NULL,2014-04-28 08:14:28
2014-04-28 08:12:59,20,8190,2014-04-28 08:13:00,2014-04-28 08:15:22,2014-04-28 08:15:55,2014-04-28 08:18:24
2014-04-28 08:13:01,20,8373,2014-04-28 08:13:02,NULL,NULL,2014-04-28 08:16:08
2014-04-28 08:13:07,20,6930,2014-04-28 08:13:08,NULL,NULL,2014-04-28 08:19:52
2014-04-28 08:13:07,20,8861,2014-04-28 08:13:08,NULL,NULL,2014-04-28 08:17:35
2014-04-28 08:13:51,9,9575,2014-04-28 08:13:52,NULL,NULL,2014-04-28 08:15:44
2014-04-28 08:13:53,2,9118,2014-04-28 08:13:54,NULL,NULL,2014-04-28 08:21:07
2014-04-28 08:14:12,9,6949,2014-04-28 08:14:13,NULL,NULL,2014-04-28 08:16:37
2014-04-28 08:14:27,5,8514,2014-04-28 08:14:28,NULL,NULL,2014-04-28 08:14:41
2014-04-28 08:14:49,20,6944,2014-04-28 08:14:50,NULL,NULL,2014-04-28 08:17:58
2014-04-28 08:15:01,2,6947,2014-04-28 08:15:02,NULL,NULL,2014-04-28 08:18:55
2014-04-28 08:15:23,20,9345,2014-04-28 08:15:24,2014-04-28 08:17:55,2014-04-28 08:18:51,2014-04-28 08:20:00
2014-04-28 08:15:33,20,8076,2014-04-28 08:15:34,NULL,NULL,2014-04-28 08:16:47
2014-04-28 08:15:35,20,6975,2014-04-28 08:15:36,2014-04-28 08:19:45,2014-04-28 08:20:50,2014-04-28 08:25:42
2014-04-28 08:15:41,20,8514,2014-04-28 08:15:42,NULL,NULL,2014-04-28 08:18:30
2014-04-28 08:15:50,5,9694,2014-04-28 08:15:51,NULL,NULL,2014-04-28 08:20:30
2014-04-28 08:15:55,20,9423,2014-04-28 08:15:56,NULL,NULL,2014-04-28 08:17:46
2014-04-28 08:15:55,2,6940,2014-04-28 08:15:56,NULL,NULL,2014-04-28 08:20:18
2014-04-28 08:16:07,5,9508,2014-04-28 08:16:08,NULL,NULL,2014-04-28 08:20:17
2014-04-28 08:16:08,5,7823,2014-04-28 08:16:09,NULL,NULL,2014-04-28 08:19:23
2014-04-28 08:16:29,20,8190,2014-04-28 08:16:29,NULL,NULL,2014-04-28 08:19:49
2014-04-28 08:16:29,2,8373,2014-04-28 08:16:30,NULL,NULL,2014-04-28 08:18:18
2014-04-28 08:16:32,5,9575,2014-04-28 08:16:33,NULL,NULL,2014-04-28 08:19:29
2014-04-28 08:16:50,5,6949,2014-04-28 08:16:51,NULL,NULL,2014-04-28 08:23:22
2014-04-28 08:16:56,20,8076,2014-04-28 08:16:57,NULL,NULL,2014-04-28 08:19:55
2014-04-28 08:17:27,5,8861,2014-04-28 08:17:42,NULL,NULL,2014-04-28 08:20:29
2014-04-28 08:17:35,5,9423,2014-04-28 08:17:51,NULL,NULL,2014-04-28 08:19:29
2014-04-28 08:17:40,20,6935,2014-04-28 08:18:02,NULL,NULL,2014-04-28 08:20:20
2014-04-28 08:17:49,20,6944,2014-04-28 08:18:04,NULL,NULL,2014-04-28 08:20:10
2014-04-28 08:17:49,20,9425,2014-04-28 08:18:10,NULL,NULL,2014-04-28 08:28:41
2014-04-28 08:18:00,2,8373,2014-04-28 08:18:22,NULL,NULL,2014-04-28 08:20:00
2014-04-28 08:18:03,20,8514,2014-04-28 08:18:36,NULL,NULL,2014-04-28 08:27:53
2014-04-28 08:18:04,2,6947,2014-04-28 08:19:00,NULL,NULL,2014-04-28 08:23:04
2014-04-28 08:18:09,20,9345,2014-04-28 08:18:58,NULL,NULL,2014-04-28 08:22:44
