date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-01-18 09:02:11,2,7531,2014-01-18 09:02:12,NULL,NULL,2014-01-18 09:06:13
2014-01-18 09:03:48,20,8077,2014-01-18 09:03:49,NULL,NULL,2014-01-18 09:08:12
2014-01-18 09:07:01,5,7168,2014-01-18 09:07:02,NULL,NULL,2014-01-18 09:10:45
2014-01-18 09:08:32,20,7531,2014-01-18 09:08:33,NULL,NULL,2014-01-18 09:12:07
2014-01-18 09:10:49,9,8077,2014-01-18 09:10:50,NULL,NULL,2014-01-18 09:13:49
2014-01-18 09:11:20,20,7168,2014-01-18 09:11:21,NULL,NULL,2014-01-18 09:16:34
2014-01-18 09:11:33,2,7531,2014-01-18 09:12:08,2014-01-18 09:12:43,2014-01-18 09:13:06,2014-01-18 09:16:34
2014-01-18 09:15:54,20,7531,2014-01-18 09:15:55,NULL,NULL,2014-01-18 09:18:52
2014-01-18 09:22:16,20,8077,2014-01-18 09:22:17,NULL,NULL,2014-01-18 09:25:29
2014-01-18 09:26:03,20,7168,2014-01-18 09:26:04,NULL,NULL,2014-01-18 09:27:24
2014-01-18 09:27:16,2,7531,2014-01-18 09:27:17,2014-01-18 09:27:49,2014-01-18 09:28:06,2014-01-18 09:32:56
2014-01-18 09:30:09,20,8077,2014-01-18 09:30:10,2014-01-18 09:31:49,2014-01-18 09:32:44,2014-01-18 09:36:30
2014-01-18 09:36:16,5,7168,2014-01-18 09:36:17,NULL,NULL,2014-01-18 09:37:23
2014-01-18 09:39:24,9,7531,2014-01-18 09:39:25,NULL,NULL,2014-01-18 09:39:49
2014-01-18 09:44:27,20,8077,2014-01-18 09:44:28,NULL,NULL,2014-01-18 09:57:31
2014-01-18 09:48:06,5,7168,2014-01-18 09:48:07,NULL,NULL,2014-01-18 09:50:12
2014-01-18 09:51:31,5,7531,2014-01-18 09:51:31,NULL,NULL,2014-01-18 09:55:02
2014-01-18 09:52:58,5,7168,2014-01-18 09:52:59,NULL,NULL,2014-01-18 09:54:56
2014-01-18 09:56:18,5,7168,2014-01-18 09:56:19,NULL,NULL,2014-01-18 09:57:19
2014-01-18 10:03:32,20,8077,2014-01-18 10:03:33,NULL,NULL,2014-01-18 10:09:07
2014-01-18 10:07:21,20,8486,2014-01-18 10:07:22,NULL,NULL,2014-01-18 10:09:16
2014-01-18 10:08:14,20,8494,2014-01-18 10:08:15,NULL,NULL,2014-01-18 10:11:32
2014-01-18 10:10:39,20,8077,2014-01-18 10:10:40,NULL,NULL,2014-01-18 10:15:17
2014-01-18 10:12:49,2,8486,2014-01-18 10:12:50,NULL,NULL,2014-01-18 10:20:56
2014-01-18 10:13:30,20,8494,2014-01-18 10:13:31,NULL,NULL,2014-01-18 10:19:39
2014-01-18 10:22:43,20,8494,2014-01-18 10:22:44,NULL,NULL,2014-01-18 10:26:23
2014-01-18 10:23:43,20,8486,2014-01-18 10:23:44,NULL,NULL,2014-01-18 10:26:23
2014-01-18 10:26:24,9,8077,2014-01-18 10:26:25,NULL,NULL,2014-01-18 10:30:15
2014-01-18 10:28:05,20,8486,2014-01-18 10:28:06,NULL,NULL,2014-01-18 10:37:47
2014-01-18 10:29:49,5,8494,2014-01-18 10:29:50,NULL,NULL,2014-01-18 10:38:28
2014-01-18 10:34:39,5,8077,2014-01-18 10:34:40,NULL,NULL,2014-01-18 10:39:32
2014-01-18 10:35:30,9,8486,2014-01-18 10:37:50,NULL,NULL,2014-01-18 10:43:10
2014-01-18 10:36:44,0,8077,2014-01-18 10:39:38,NULL,NULL,2014-01-18 10:42:38
2014-01-18 10:44:10,20,8494,2014-01-18 10:44:11,NULL,NULL,2014-01-18 10:47:51
2014-01-18 10:44:57,20,8077,2014-01-18 10:44:58,NULL,NULL,2014-01-18 10:50:48
2014-01-18 10:49:38,5,8486,2014-01-18 10:49:39,NULL,NULL,2014-01-18 10:50:38
2014-01-18 10:51:24,5,8494,2014-01-18 10:51:25,NULL,NULL,2014-01-18 10:53:54
2014-01-18 10:51:27,20,8486,2014-01-18 10:51:28,NULL,NULL,2014-01-18 10:52:49
2014-01-18 10:57:44,2,8077,2014-01-18 10:57:45,NULL,NULL,2014-01-18 11:04:29
2014-01-18 10:58:08,2,8486,2014-01-18 10:58:09,2014-01-18 10:58:53,2014-01-18 10:59:12,2014-01-18 11:01:48
2014-01-18 10:59:17,20,8494,2014-01-18 10:59:18,NULL,NULL,2014-01-18 11:02:15
2014-01-18 11:06:18,2,8486,2014-01-18 11:06:19,NULL,NULL,2014-01-18 11:11:34
2014-01-18 11:07:50,2,8866,2014-01-18 11:07:51,2014-01-18 11:08:40,2014-01-18 11:09:03,2014-01-18 11:11:17
2014-01-18 11:08:00,5,6917,2014-01-18 11:08:01,NULL,NULL,2014-01-18 11:15:05
2014-01-18 11:09:11,2,7168,2014-01-18 11:09:12,NULL,NULL,2014-01-18 11:11:18
2014-01-18 11:09:36,2,8494,2014-01-18 11:09:37,2014-01-18 11:13:13,2014-01-18 11:13:52,2014-01-18 11:20:47
2014-01-18 11:09:47,20,8866,2014-01-18 11:09:48,NULL,NULL,2014-01-18 11:13:34
2014-01-18 11:10:10,20,NULL,NULL,NULL,NULL,2014-01-18 11:11:12
2014-01-18 11:11:21,5,7168,2014-01-18 11:11:22,NULL,NULL,2014-01-18 11:14:11
2014-01-18 11:12:12,2,8486,2014-01-18 11:12:13,2014-01-18 11:12:56,2014-01-18 11:13:13,2014-01-18 11:14:16
2014-01-18 11:12:46,20,8486,2014-01-18 11:13:16,NULL,NULL,2014-01-18 11:19:03
2014-01-18 11:26:56,9,8866,2014-01-18 11:26:57,NULL,NULL,2014-01-18 11:28:31
2014-01-18 11:29:25,20,8494,2014-01-18 11:29:26,NULL,NULL,2014-01-18 11:33:12
2014-01-18 11:34:43,5,7168,2014-01-18 11:34:44,NULL,NULL,2014-01-18 11:36:12
2014-01-18 11:38:03,0,6917,2014-01-18 11:38:04,NULL,NULL,2014-01-18 11:38:16
2014-01-18 11:38:37,5,8486,2014-01-18 11:38:38,NULL,NULL,2014-01-18 11:40:58
