date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-09-30 08:00:42,20,6989,2014-09-30 08:00:43,NULL,NULL,2014-09-30 08:04:56
2014-09-30 08:01:08,20,6940,2014-09-30 08:01:09,NULL,NULL,2014-09-30 08:08:02
2014-09-30 08:01:36,2,6944,2014-09-30 08:01:37,NULL,NULL,2014-09-30 08:07:27
2014-09-30 08:01:42,20,6947,2014-09-30 08:01:43,NULL,NULL,2014-09-30 08:05:26
2014-09-30 08:02:17,2,8189,2014-09-30 08:02:18,NULL,NULL,2014-09-30 08:06:45
2014-09-30 08:02:21,20,9826,2014-09-30 08:02:22,NULL,NULL,2014-09-30 08:03:51
2014-09-30 08:02:30,20,8076,2014-09-30 08:02:31,NULL,NULL,2014-09-30 08:06:42
2014-09-30 08:02:34,5,1102,2014-09-30 08:02:35,2014-09-30 08:04:12,2014-09-30 08:04:42,2014-09-30 08:06:48
2014-09-30 08:03:07,20,6930,2014-09-30 08:03:08,NULL,NULL,2014-09-30 08:13:49
2014-09-30 08:04:10,5,1241,2014-09-30 08:04:11,2014-09-30 08:12:09,2014-09-30 08:12:27,2014-09-30 08:14:57
2014-09-30 08:04:14,2,1039,2014-09-30 08:04:15,NULL,NULL,2014-09-30 08:06:48
2014-09-30 08:04:16,5,9113,2014-09-30 08:04:17,NULL,NULL,2014-09-30 08:06:01
2014-09-30 08:04:29,5,9110,2014-09-30 08:04:30,2014-09-30 08:09:45,NULL,2014-09-30 08:16:12
2014-09-30 08:05:08,20,7039,2014-09-30 08:05:09,NULL,NULL,2014-09-30 08:07:53
2014-09-30 08:05:09,5,1407,2014-09-30 08:05:10,2014-09-30 08:07:22,2014-09-30 08:08:13,2014-09-30 08:11:19
2014-09-30 08:06:03,0,9826,2014-09-30 08:06:04,NULL,NULL,2014-09-30 08:12:39
2014-09-30 08:06:24,5,1398,2014-09-30 08:06:25,NULL,NULL,2014-09-30 08:07:37
2014-09-30 08:06:34,5,9423,2014-09-30 08:06:35,NULL,NULL,2014-09-30 08:07:45
2014-09-30 08:06:38,20,6989,2014-09-30 08:06:38,NULL,NULL,2014-09-30 08:08:45
2014-09-30 08:07:30,5,1171,2014-09-30 08:07:31,NULL,NULL,2014-09-30 08:16:28
2014-09-30 08:08:32,5,1245,2014-09-30 08:08:33,NULL,NULL,2014-09-30 08:11:33
2014-09-30 08:09:29,0,1102,2014-09-30 08:09:30,NULL,NULL,2014-09-30 08:09:35
2014-09-30 08:09:31,5,6947,2014-09-30 08:09:32,NULL,NULL,2014-09-30 08:12:23
2014-09-30 08:09:37,9,9113,2014-09-30 08:09:38,NULL,NULL,2014-09-30 08:12:20
2014-09-30 08:11:07,5,8076,2014-09-30 08:11:08,NULL,NULL,2014-09-30 08:13:07
2014-09-30 08:11:11,5,8189,2014-09-30 08:11:12,NULL,NULL,2014-09-30 08:12:52
2014-09-30 08:11:23,5,1039,2014-09-30 08:11:24,2014-09-30 08:14:17,2014-09-30 08:15:20,2014-09-30 08:23:22
2014-09-30 08:11:45,5,6944,2014-09-30 08:11:46,NULL,NULL,2014-09-30 08:15:02
2014-09-30 08:12:11,2,9423,2014-09-30 08:12:12,NULL,NULL,2014-09-30 08:14:57
2014-09-30 08:12:53,9,1398,2014-09-30 08:12:54,NULL,2014-09-30 08:13:16,2014-09-30 08:13:32
2014-09-30 08:13:40,5,6940,2014-09-30 08:13:41,NULL,NULL,2014-09-30 08:19:25
2014-09-30 08:15:44,2,7039,2014-09-30 08:15:44,NULL,NULL,2014-09-30 08:18:40
2014-09-30 08:16:07,20,6989,2014-09-30 08:16:08,NULL,NULL,2014-09-30 08:18:01
2014-09-30 08:17:12,5,1407,2014-09-30 08:17:13,NULL,NULL,2014-09-30 08:18:45
2014-09-30 08:17:32,5,1102,2014-09-30 08:17:33,NULL,NULL,2014-09-30 08:20:46
2014-09-30 08:17:36,5,1245,2014-09-30 08:17:37,NULL,NULL,2014-09-30 08:18:08
2014-09-30 08:18:40,5,9113,2014-09-30 08:18:41,NULL,NULL,2014-09-30 08:19:54
2014-09-30 08:18:50,5,6947,2014-09-30 08:18:51,NULL,NULL,2014-09-30 08:22:12
