date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-09-04 08:00:57,2,6947,2014-09-04 08:00:58,NULL,NULL,2014-09-04 08:07:50
2014-09-04 08:01:05,20,8076,2014-09-04 08:01:06,NULL,NULL,2014-09-04 08:05:00
2014-09-04 08:01:20,9,1241,2014-09-04 08:01:21,2014-09-04 08:02:34,2014-09-04 08:02:57,2014-09-04 08:03:55
2014-09-04 08:01:36,9,8729,2014-09-04 08:01:37,NULL,NULL,2014-09-04 08:06:38
2014-09-04 08:02:36,20,6930,2014-09-04 08:02:37,NULL,NULL,2014-09-04 08:03:55
2014-09-04 08:03:00,5,7923,2014-09-04 08:03:01,2014-09-04 08:07:12,2014-09-04 08:09:17,2014-09-04 08:11:16
2014-09-04 08:03:12,20,6949,2014-09-04 08:03:13,2014-09-04 08:06:23,2014-09-04 08:07:27,2014-09-04 08:10:02
2014-09-04 08:03:18,0,1102,2014-09-04 08:03:19,NULL,NULL,2014-09-04 08:09:32
2014-09-04 08:03:55,2,9109,2014-09-04 08:03:56,NULL,NULL,2014-09-04 08:06:22
2014-09-04 08:03:59,20,9342,2014-09-04 08:04:00,NULL,NULL,2014-09-04 08:09:55
2014-09-04 08:04:06,20,7823,2014-09-04 08:04:07,NULL,NULL,2014-09-04 08:13:13
2014-09-04 08:04:23,20,6917,2014-09-04 08:04:24,NULL,NULL,2014-09-04 08:12:04
2014-09-04 08:05:02,2,6940,2014-09-04 08:05:03,NULL,NULL,2014-09-04 08:10:47
2014-09-04 08:05:04,20,8720,2014-09-04 08:05:05,NULL,NULL,2014-09-04 08:08:23
2014-09-04 08:05:12,20,6952,2014-09-04 08:05:13,NULL,NULL,2014-09-04 08:06:40
2014-09-04 08:07:09,5,1107,2014-09-04 08:07:10,2014-09-04 08:07:45,2014-09-04 08:08:06,2014-09-04 08:09:12
2014-09-04 08:07:26,20,6930,2014-09-04 08:07:27,NULL,NULL,2014-09-04 08:11:55
2014-09-04 08:07:48,2,8076,2014-09-04 08:07:49,NULL,NULL,2014-09-04 08:09:12
2014-09-04 08:08:48,20,9109,2014-09-04 08:08:49,2014-09-04 08:10:28,2014-09-04 08:11:09,2014-09-04 08:12:51
2014-09-04 08:09:27,5,1241,2014-09-04 08:09:28,NULL,NULL,2014-09-04 08:17:24
2014-09-04 08:09:32,20,8729,2014-09-04 08:09:33,NULL,NULL,2014-09-04 08:14:04
2014-09-04 08:10:10,5,6949,2014-09-04 08:10:11,NULL,NULL,2014-09-04 08:10:52
2014-09-04 08:10:53,9,6947,2014-09-04 08:10:54,NULL,NULL,2014-09-04 08:12:13
2014-09-04 08:11:11,20,8720,2014-09-04 08:11:12,NULL,NULL,2014-09-04 08:16:21
2014-09-04 08:11:36,2,8076,2014-09-04 08:11:37,NULL,NULL,2014-09-04 08:22:24
2014-09-04 08:11:46,20,7923,2014-09-04 08:11:47,NULL,NULL,2014-09-04 08:13:25
2014-09-04 08:11:53,5,1107,2014-09-04 08:11:54,NULL,NULL,2014-09-04 08:15:09
2014-09-04 08:12:58,9,1102,2014-09-04 08:12:59,NULL,NULL,2014-09-04 08:14:19
2014-09-04 08:13:00,2,6940,2014-09-04 08:13:01,NULL,NULL,2014-09-04 08:13:40
2014-09-04 08:13:46,5,9342,2014-09-04 08:13:47,NULL,NULL,2014-09-04 08:13:57
2014-09-04 08:14:52,5,9109,2014-09-04 08:14:52,NULL,NULL,2014-09-04 08:15:17
2014-09-04 08:15:12,5,6949,2014-09-04 08:15:13,NULL,NULL,2014-09-04 08:18:55
2014-09-04 08:15:20,5,6930,2014-09-04 08:15:21,NULL,NULL,2014-09-04 08:18:36
2014-09-04 08:16:21,5,6917,2014-09-04 08:16:22,NULL,NULL,2014-09-04 08:18:35
2014-09-04 08:16:26,5,6947,2014-09-04 08:16:27,NULL,NULL,2014-09-04 08:20:06
2014-09-04 08:17:27,5,7823,2014-09-04 08:17:27,NULL,NULL,2014-09-04 08:23:41
2014-09-04 08:18:02,20,7923,2014-09-04 08:18:03,NULL,NULL,2014-09-04 08:21:15
