date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-09-18 08:01:12,20,6944,2014-09-18 08:01:13,NULL,NULL,2014-09-18 08:02:52
2014-09-18 08:02:13,20,6947,2014-09-18 08:02:14,NULL,NULL,2014-09-18 08:03:50
2014-09-18 08:02:59,20,6989,2014-09-18 08:03:00,2014-09-18 08:05:54,2014-09-18 08:06:43,2014-09-18 08:08:00
2014-09-18 08:03:59,5,1398,2014-09-18 08:04:00,NULL,NULL,2014-09-18 08:08:03
2014-09-18 08:04:06,5,1405,2014-09-18 08:04:07,2014-09-18 08:05:35,2014-09-18 08:05:56,2014-09-18 08:07:22
2014-09-18 08:04:23,2,8076,2014-09-18 08:04:24,NULL,NULL,2014-09-18 08:05:47
2014-09-18 08:05:31,5,1241,2014-09-18 08:05:32,2014-09-18 08:06:27,2014-09-18 08:06:44,2014-09-18 08:14:43
2014-09-18 08:05:37,20,6991,2014-09-18 08:05:38,NULL,NULL,2014-09-18 08:07:22
2014-09-18 08:06:29,20,9423,2014-09-18 08:06:30,2014-09-18 08:09:08,2014-09-18 08:09:42,2014-09-18 08:14:43
2014-09-18 08:06:34,20,1043,2014-09-18 08:06:35,NULL,NULL,2014-09-18 08:06:36
2014-09-18 08:07:32,5,1102,2014-09-18 08:07:33,NULL,NULL,2014-09-18 08:09:27
2014-09-18 08:07:37,2,9512,2014-09-18 08:07:38,NULL,NULL,2014-09-18 08:12:43
2014-09-18 08:07:47,2,6949,2014-09-18 08:07:47,NULL,NULL,2014-09-18 08:10:47
2014-09-18 08:08:01,5,9826,2014-09-18 08:08:02,NULL,NULL,2014-09-18 08:11:05
2014-09-18 08:08:07,5,8373,2014-09-18 08:08:08,NULL,NULL,2014-09-18 08:08:52
2014-09-18 08:09:11,5,6944,2014-09-18 08:09:12,NULL,NULL,2014-09-18 08:11:31
2014-09-18 08:09:15,20,6947,2014-09-18 08:09:16,NULL,NULL,2014-09-18 08:13:53
2014-09-18 08:09:38,20,8076,2014-09-18 08:09:39,NULL,NULL,2014-09-18 08:16:15
2014-09-18 08:09:46,2,6989,2014-09-18 08:09:47,NULL,NULL,2014-09-18 08:13:00
2014-09-18 08:10:46,20,1043,2014-09-18 08:10:47,NULL,NULL,2014-09-18 08:16:01
2014-09-18 08:11:17,5,1405,2014-09-18 08:11:18,2014-09-18 08:14:02,2014-09-18 08:14:38,2014-09-18 08:18:16
2014-09-18 08:11:20,5,1241,2014-09-18 08:11:21,NULL,NULL,2014-09-18 08:15:56
2014-09-18 08:11:43,5,6991,2014-09-18 08:11:44,NULL,NULL,2014-09-18 08:13:46
2014-09-18 08:12:04,20,8373,2014-09-18 08:12:05,NULL,NULL,2014-09-18 08:18:27
2014-09-18 08:12:09,5,1398,2014-09-18 08:12:10,2014-09-18 08:13:58,2014-09-18 08:14:30,2014-09-18 08:27:39
2014-09-18 08:12:10,2,9514,2014-09-18 08:12:11,NULL,NULL,2014-09-18 08:16:05
2014-09-18 08:12:33,5,1102,2014-09-18 08:12:34,NULL,NULL,2014-09-18 08:21:40
2014-09-18 08:12:53,2,9423,2014-09-18 08:12:54,NULL,NULL,2014-09-18 08:14:58
2014-09-18 08:13:14,5,6949,2014-09-18 08:13:15,NULL,NULL,2014-09-18 08:17:28
2014-09-18 08:14:01,20,9826,2014-09-18 08:14:02,2014-09-18 08:23:08,2014-09-18 08:23:39,2014-09-18 08:27:39
2014-09-18 08:14:08,20,6944,2014-09-18 08:14:09,2014-09-18 08:16:22,2014-09-18 08:16:53,2014-09-18 08:18:16
2014-09-18 08:14:27,5,6989,2014-09-18 08:14:28,2014-09-18 08:15:59,2014-09-18 08:16:33,2014-09-18 08:17:55
2014-09-18 08:16:09,0,6991,2014-09-18 08:16:10,NULL,NULL,2014-09-18 08:21:16
2014-09-18 08:16:19,2,6947,2014-09-18 08:16:20,NULL,NULL,2014-09-18 08:20:18
2014-09-18 08:16:23,20,9423,2014-09-18 08:16:24,2014-09-18 08:19:23,2014-09-18 08:20:03,2014-09-18 08:23:42
2014-09-18 08:16:28,0,9512,2014-09-18 08:16:29,NULL,NULL,2014-09-18 08:20:11
2014-09-18 08:17:18,5,1398,2014-09-18 08:17:19,2014-09-18 08:18:04,2014-09-18 08:18:30,2014-09-18 08:26:32
2014-09-18 08:17:34,20,1043,2014-09-18 08:17:35,NULL,NULL,2014-09-18 08:23:41
2014-09-18 08:17:43,5,1405,2014-09-18 08:17:44,NULL,NULL,2014-09-18 08:23:17
2014-09-18 08:18:06,20,8076,2014-09-18 08:18:07,2014-09-18 08:20:46,2014-09-18 08:21:23,2014-09-18 08:26:32
2014-09-18 08:18:22,5,1241,2014-09-18 08:18:22,NULL,NULL,2014-09-18 08:19:30
2014-09-18 08:18:28,20,6989,2014-09-18 08:18:29,2014-09-18 08:21:00,2014-09-18 08:21:33,2014-09-18 08:24:02
