date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-12-31 08:03:12,2,6922,2014-12-31 08:03:13,NULL,NULL,2014-12-31 08:05:30
2014-12-31 08:04:09,5,1610,2014-12-31 08:04:10,NULL,NULL,2014-12-31 08:09:23
2014-12-31 08:04:17,5,1618,2014-12-31 08:04:18,NULL,NULL,2014-12-31 08:09:55
2014-12-31 08:04:28,25,1569,2014-12-31 08:04:29,2014-12-31 08:05:22,2014-12-31 08:05:33,2014-12-31 08:06:41
2014-12-31 08:05:42,20,1641,2014-12-31 08:05:42,NULL,NULL,2014-12-31 08:10:07
2014-12-31 08:07:19,5,6925,2014-12-31 08:07:20,NULL,NULL,2014-12-31 08:08:27
2014-12-31 08:08:07,5,1045,2014-12-31 08:08:08,NULL,NULL,2014-12-31 08:15:15
2014-12-31 08:08:14,5,6922,2014-12-31 08:08:15,NULL,NULL,2014-12-31 08:10:18
2014-12-31 08:09:06,5,1569,2014-12-31 08:09:07,2014-12-31 08:15:33,NULL,2014-12-31 08:16:34
2014-12-31 08:09:27,2,6925,2014-12-31 08:09:28,NULL,NULL,2014-12-31 08:11:12
2014-12-31 08:09:47,5,1610,2014-12-31 08:09:48,NULL,NULL,2014-12-31 08:10:15
2014-12-31 08:09:56,5,1618,2014-12-31 08:09:57,2014-12-31 08:10:46,2014-12-31 08:11:13,2014-12-31 08:12:07
2014-12-31 08:10:38,20,1647,2014-12-31 08:10:39,NULL,NULL,2014-12-31 08:11:31
2014-12-31 08:10:48,20,1640,2014-12-31 08:10:48,NULL,NULL,2014-12-31 08:12:07
2014-12-31 08:10:50,20,1639,2014-12-31 08:10:51,NULL,NULL,2014-12-31 08:17:27
2014-12-31 08:11:00,5,1610,2014-12-31 08:11:01,2014-12-31 08:15:16,2014-12-31 08:16:38,2014-12-31 08:22:38
2014-12-31 08:11:25,26,6922,2014-12-31 08:11:26,NULL,NULL,2014-12-31 08:13:12
2014-12-31 08:11:27,5,6925,2014-12-31 08:11:28,NULL,NULL,2014-12-31 08:14:57
2014-12-31 08:11:47,2,6922,2014-12-31 08:13:13,NULL,NULL,2014-12-31 08:15:06
2014-12-31 08:11:50,5,1618,2014-12-31 08:11:51,NULL,NULL,2014-12-31 08:15:54
2014-12-31 08:12:14,20,1646,2014-12-31 08:12:15,NULL,NULL,2014-12-31 08:26:18
2014-12-31 08:12:29,2,6925,2014-12-31 08:14:58,NULL,NULL,2014-12-31 08:17:33
2014-12-31 08:12:30,5,NULL,NULL,NULL,NULL,2014-12-31 08:14:50
2014-12-31 08:13:26,5,6922,2014-12-31 08:15:06,NULL,NULL,2014-12-31 08:16:12
2014-12-31 08:15:18,5,1045,2014-12-31 08:15:19,NULL,NULL,2014-12-31 08:19:42
2014-12-31 08:15:18,2,6922,2014-12-31 08:16:13,NULL,NULL,2014-12-31 08:22:38
2014-12-31 08:15:19,2,6925,2014-12-31 08:17:33,NULL,NULL,2014-12-31 08:20:50
2014-12-31 08:15:34,2,NULL,NULL,NULL,NULL,2014-12-31 08:16:11
2014-12-31 08:16:13,5,1618,2014-12-31 08:16:14,2014-12-31 08:18:30,2014-12-31 08:19:02,2014-12-31 08:19:51
2014-12-31 08:17:17,5,1569,2014-12-31 08:17:18,2014-12-31 08:22:25,NULL,2014-12-31 08:23:04
2014-12-31 08:18:05,2,1045,2014-12-31 08:19:43,NULL,NULL,2014-12-31 08:25:26
2014-12-31 08:18:19,2,6925,2014-12-31 08:20:55,NULL,NULL,2014-12-31 08:26:59
2014-12-31 08:19:34,5,1610,2014-12-31 08:19:35,NULL,NULL,2014-12-31 08:23:25
2014-12-31 08:20:27,26,1618,2014-12-31 08:20:28,NULL,NULL,2014-12-31 08:22:47
2014-12-31 08:21:22,20,1641,2014-12-31 08:21:22,NULL,NULL,2014-12-31 08:26:34
2014-12-31 08:21:36,2,6922,2014-12-31 08:22:39,NULL,NULL,2014-12-31 08:25:49
2014-12-31 08:22:14,2,1045,2014-12-31 08:25:28,NULL,NULL,2014-12-31 08:27:10
2014-12-31 08:22:34,5,1618,NULL,NULL,NULL,2014-12-31 08:22:49
2014-12-31 08:23:56,20,1647,2014-12-31 08:23:57,NULL,NULL,2014-12-31 08:28:24
2014-12-31 08:24:26,5,1618,2014-12-31 08:24:27,2014-12-31 08:25:45,2014-12-31 08:26:05,2014-12-31 08:28:15
2014-12-31 08:25:47,20,1640,2014-12-31 08:25:48,NULL,NULL,2014-12-31 08:28:15
2014-12-31 08:26:47,20,1645,2014-12-31 08:26:48,NULL,NULL,2014-12-31 08:30:07
2014-12-31 08:27:11,20,1639,2014-12-31 08:27:12,NULL,NULL,2014-12-31 08:31:39
2014-12-31 08:28:15,5,1569,2014-12-31 08:28:16,NULL,NULL,2014-12-31 08:31:39
2014-12-31 08:28:34,5,1610,2014-12-31 08:28:35,2014-12-31 08:29:17,2014-12-31 08:29:52,2014-12-31 08:35:06
2014-12-31 08:28:47,5,6922,2014-12-31 08:28:48,NULL,NULL,2014-12-31 08:29:42
2014-12-31 08:28:53,5,1618,2014-12-31 08:28:54,2014-12-31 08:31:10,2014-12-31 08:32:36,2014-12-31 08:43:43
2014-12-31 08:29:19,20,1646,2014-12-31 08:29:20,NULL,NULL,2014-12-31 08:35:06
2014-12-31 08:29:30,2,6925,2014-12-31 08:29:31,NULL,NULL,2014-12-31 08:34:56
2014-12-31 08:30:02,5,1567,2014-12-31 08:30:03,2014-12-31 08:30:25,2014-12-31 08:30:39,2014-12-31 08:31:30
2014-12-31 08:30:05,5,6922,2014-12-31 08:30:06,NULL,NULL,2014-12-31 08:33:40
2014-12-31 08:30:25,5,1610,2014-12-31 08:30:26,2014-12-31 08:31:01,2014-12-31 08:31:23,2014-12-31 08:32:19
2014-12-31 08:30:25,20,1641,2014-12-31 08:30:26,NULL,NULL,2014-12-31 08:31:30
2014-12-31 08:30:53,24,1612,2014-12-31 08:30:54,NULL,NULL,2014-12-31 08:31:45
2014-12-31 08:31:03,20,1640,2014-12-31 08:31:03,NULL,NULL,2014-12-31 08:32:19
2014-12-31 08:31:21,20,1647,2014-12-31 08:31:22,NULL,NULL,2014-12-31 08:44:00
2014-12-31 08:31:25,20,1638,2014-12-31 08:31:26,NULL,NULL,2014-12-31 08:33:46
2014-12-31 08:32:12,5,1536,2014-12-31 08:32:13,2014-12-31 08:34:12,2014-12-31 08:34:46,2014-12-31 08:49:00
2014-12-31 08:32:20,2,9698,2014-12-31 08:32:21,NULL,NULL,2014-12-31 08:34:03
2014-12-31 08:32:26,26,1574,2014-12-31 08:32:27,2014-12-31 08:34:12,2014-12-31 08:35:08,2014-12-31 08:37:03
2014-12-31 08:32:49,20,7030,2014-12-31 08:32:50,NULL,NULL,2014-12-31 08:47:39
2014-12-31 08:32:59,5,1611,2014-12-31 08:33:00,2014-12-31 08:35:52,2014-12-31 08:35:58,2014-12-31 08:41:45
2014-12-31 08:33:05,20,1645,2014-12-31 08:33:06,NULL,NULL,2014-12-31 08:40:57
2014-12-31 08:34:13,20,1068,2014-12-31 08:34:13,2014-12-31 08:42:38,2014-12-31 08:43:11,2014-12-31 08:49:00
2014-12-31 08:35:27,9,1533,2014-12-31 08:35:28,NULL,NULL,2014-12-31 08:36:04
2014-12-31 08:35:31,2,9687,2014-12-31 08:35:32,NULL,NULL,2014-12-31 08:41:45
2014-12-31 08:35:44,5,1541,2014-12-31 08:35:45,NULL,NULL,2014-12-31 08:40:21
2014-12-31 08:35:49,5,1567,2014-12-31 08:35:50,2014-12-31 08:36:51,2014-12-31 08:37:08,2014-12-31 08:40:41
2014-12-31 08:36:13,25,1612,2014-12-31 08:36:13,NULL,NULL,2014-12-31 08:38:29
2014-12-31 08:36:52,2,6922,2014-12-31 08:36:53,NULL,NULL,2014-12-31 08:40:41
2014-12-31 08:36:55,5,1610,2014-12-31 08:36:56,2014-12-31 08:37:40,2014-12-31 08:38:03,2014-12-31 08:39:00
2014-12-31 08:37:04,20,1637,2014-12-31 08:37:05,NULL,NULL,2014-12-31 08:42:04
