date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-12-10 08:00:32,26,6940,2014-12-10 08:00:33,NULL,NULL,2014-12-10 08:01:25
2014-12-10 08:00:46,26,8189,2014-12-10 08:00:47,2014-12-10 08:03:06,2014-12-10 08:03:55,2014-12-10 08:05:35
2014-12-10 08:00:56,26,1405,2014-12-10 08:00:57,2014-12-10 08:02:57,2014-12-10 08:04:14,2014-12-10 08:05:34
2014-12-10 08:01:18,5,1569,2014-12-10 08:01:19,2014-12-10 08:01:43,2014-12-10 08:02:03,2014-12-10 08:04:08
2014-12-10 08:01:44,2,6922,2014-12-10 08:01:44,NULL,NULL,2014-12-10 08:04:08
2014-12-10 08:01:48,25,1539,2014-12-10 08:02:08,NULL,NULL,2014-12-10 08:04:44
2014-12-10 08:02:30,5,1108,2014-12-10 08:02:31,NULL,NULL,2014-12-10 08:08:36
2014-12-10 08:04:29,5,6989,2014-12-10 08:04:30,NULL,NULL,2014-12-10 08:09:19
2014-12-10 08:04:36,20,1104,2014-12-10 08:04:37,2014-12-10 08:07:47,NULL,2014-12-10 08:08:23
2014-12-10 08:06:04,26,6940,2014-12-10 08:06:05,NULL,NULL,2014-12-10 08:07:20
2014-12-10 08:06:05,20,9514,2014-12-10 08:06:06,NULL,NULL,2014-12-10 08:10:25
2014-12-10 08:07:17,25,1538,2014-12-10 08:07:18,2014-12-10 08:08:14,2014-12-10 08:08:27,2014-12-10 08:09:31
2014-12-10 08:07:22,5,1569,2014-12-10 08:07:23,2014-12-10 08:08:16,2014-12-10 08:08:39,2014-12-10 08:11:22
2014-12-10 08:07:30,5,1405,2014-12-10 08:07:31,NULL,NULL,2014-12-10 08:08:48
2014-12-10 08:07:49,25,1539,2014-12-10 08:07:50,2014-12-10 08:10:13,2014-12-10 08:10:48,2014-12-10 08:12:14
2014-12-10 08:08:17,2,6940,2014-12-10 08:08:18,2014-12-10 08:10:10,2014-12-10 08:10:39,2014-12-10 08:11:22
2014-12-10 08:08:21,26,6931,2014-12-10 08:08:22,2014-12-10 08:11:41,NULL,2014-12-10 08:12:53
2014-12-10 08:08:28,5,1104,2014-12-10 08:08:29,NULL,NULL,2014-12-10 08:09:32
2014-12-10 08:08:40,2,1108,2014-12-10 08:08:41,NULL,NULL,2014-12-10 08:11:01
