date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-08-09 09:00:27,2,9568,2014-08-09 09:00:28,NULL,NULL,2014-08-09 09:01:25
2014-08-09 09:01:28,9,9505,2014-08-09 09:01:29,2014-08-09 09:02:10,2014-08-09 09:02:34,2014-08-09 09:04:09
2014-08-09 09:01:32,5,6930,2014-08-09 09:01:33,NULL,NULL,2014-08-09 09:02:05
2014-08-09 09:02:09,2,7923,2014-08-09 09:02:10,NULL,NULL,2014-08-09 09:04:09
2014-08-09 09:02:31,5,7002,2014-08-09 09:02:32,2014-08-09 09:05:39,2014-08-09 09:06:24,2014-08-09 09:06:25
2014-08-09 09:02:55,2,9514,2014-08-09 09:02:56,NULL,NULL,2014-08-09 09:05:29
2014-08-09 09:03:02,2,9568,2014-08-09 09:03:03,NULL,NULL,2014-08-09 09:04:50
2014-08-09 09:03:04,2,6930,2014-08-09 09:03:05,NULL,NULL,2014-08-09 09:05:26
2014-08-09 09:03:22,5,9505,2014-08-09 09:03:23,NULL,NULL,2014-08-09 09:10:01
2014-08-09 09:03:24,2,7923,2014-08-09 09:04:14,NULL,NULL,2014-08-09 09:07:18
2014-08-09 09:03:38,2,9433,2014-08-09 09:04:50,NULL,NULL,2014-08-09 09:08:35
2014-08-09 09:07:13,2,9568,2014-08-09 09:07:14,NULL,NULL,2014-08-09 09:07:59
2014-08-09 09:08:08,2,6930,2014-08-09 09:08:09,NULL,NULL,2014-08-09 09:09:33
2014-08-09 09:08:59,20,9514,2014-08-09 09:09:00,NULL,NULL,2014-08-09 09:12:54
2014-08-09 09:09:18,5,7002,2014-08-09 09:09:19,NULL,NULL,2014-08-09 09:11:18
2014-08-09 09:11:40,2,7923,2014-08-09 09:11:41,NULL,NULL,2014-08-09 09:12:57
2014-08-09 09:12:16,2,9568,2014-08-09 09:12:17,NULL,NULL,2014-08-09 09:15:06
2014-08-09 09:13:34,5,9433,2014-08-09 09:13:35,NULL,NULL,2014-08-09 09:14:26
2014-08-09 09:14:58,2,6930,2014-08-09 09:14:59,NULL,NULL,2014-08-09 09:20:04
2014-08-09 09:15:13,20,9505,2014-08-09 09:15:14,NULL,NULL,2014-08-09 09:17:45
2014-08-09 09:15:47,20,7002,2014-08-09 09:15:48,NULL,NULL,2014-08-09 09:20:43
2014-08-09 09:20:10,2,9514,2014-08-09 09:20:10,NULL,NULL,2014-08-09 09:26:26
2014-08-09 09:21:47,0,7923,2014-08-09 09:21:48,NULL,NULL,2014-08-09 09:23:38
2014-08-09 09:22:29,2,9433,2014-08-09 09:22:30,NULL,NULL,2014-08-09 09:28:58
2014-08-09 09:25:45,20,9568,2014-08-09 09:25:46,NULL,NULL,2014-08-09 09:29:03
