date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-08-07 08:01:07,20,9505,2014-08-07 08:01:08,2014-08-07 08:15:17,NULL,2014-08-07 08:20:04
2014-08-07 08:01:23,20,6947,2014-08-07 08:01:24,2014-08-07 08:02:39,2014-08-07 08:03:07,2014-08-07 08:05:17
2014-08-07 08:01:36,20,8720,2014-08-07 08:01:37,NULL,NULL,2014-08-07 08:04:05
2014-08-07 08:02:27,5,9425,2014-08-07 08:02:28,NULL,NULL,2014-08-07 08:05:38
2014-08-07 08:02:58,2,8076,2014-08-07 08:02:59,NULL,NULL,2014-08-07 08:04:39
2014-08-07 08:03:09,5,1245,2014-08-07 08:03:10,2014-08-07 08:07:17,2014-08-07 08:07:50,2014-08-07 08:10:46
2014-08-07 08:03:29,20,9113,2014-08-07 08:03:30,NULL,NULL,2014-08-07 08:03:47
2014-08-07 08:03:37,5,1241,2014-08-07 08:03:38,2014-08-07 08:04:38,2014-08-07 08:05:17,2014-08-07 08:12:52
2014-08-07 08:04:41,20,9342,2014-08-07 08:04:42,NULL,NULL,2014-08-07 08:12:52
2014-08-07 08:05:01,5,1038,2014-08-07 08:05:02,NULL,NULL,2014-08-07 08:06:01
2014-08-07 08:05:27,20,8514,2014-08-07 08:05:28,NULL,NULL,2014-08-07 08:06:13
2014-08-07 08:05:45,9,1039,2014-08-07 08:05:46,NULL,NULL,2014-08-07 08:12:18
2014-08-07 08:05:53,5,1045,2014-08-07 08:05:54,2014-08-07 08:06:55,2014-08-07 08:07:19,2014-08-07 08:10:55
2014-08-07 08:06:11,20,6930,2014-08-07 08:06:12,NULL,NULL,2014-08-07 08:10:23
2014-08-07 08:06:38,5,1108,2014-08-07 08:06:39,NULL,NULL,2014-08-07 08:15:11
2014-08-07 08:06:42,5,1102,2014-08-07 08:06:43,2014-08-07 08:09:12,2014-08-07 08:09:55,2014-08-07 08:10:02
2014-08-07 08:06:56,20,6947,2014-08-07 08:06:57,2014-08-07 08:08:18,2014-08-07 08:08:52,2014-08-07 08:10:55
2014-08-07 08:07:18,2,9113,2014-08-07 08:07:19,NULL,NULL,2014-08-07 08:10:46
2014-08-07 08:07:54,20,8720,2014-08-07 08:07:55,NULL,NULL,2014-08-07 08:10:36
2014-08-07 08:08:02,9,1244,2014-08-07 08:08:03,NULL,NULL,2014-08-07 08:13:02
2014-08-07 08:08:14,20,8076,2014-08-07 08:08:15,2014-08-07 08:10:11,2014-08-07 08:10:57,2014-08-07 08:13:17
2014-08-07 08:09:00,5,1040,2014-08-07 08:09:01,2014-08-07 08:10:02,NULL,2014-08-07 08:11:16
2014-08-07 08:09:15,20,8373,2014-08-07 08:09:16,NULL,NULL,2014-08-07 08:10:02
2014-08-07 08:09:17,20,9425,2014-08-07 08:09:18,NULL,NULL,2014-08-07 08:12:48
2014-08-07 08:10:04,20,8514,2014-08-07 08:10:05,NULL,NULL,2014-08-07 08:10:38
2014-08-07 08:10:12,20,6947,2014-08-07 08:10:13,NULL,NULL,2014-08-07 08:15:00
2014-08-07 08:11:20,9,1241,2014-08-07 08:11:21,NULL,NULL,2014-08-07 08:13:28
2014-08-07 08:11:53,2,8373,2014-08-07 08:11:54,NULL,NULL,2014-08-07 08:12:12
