date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-08-22 08:01:02,20,6940,2014-08-22 08:01:03,NULL,NULL,2014-08-22 08:11:55
2014-08-22 08:01:30,5,1171,2014-08-22 08:01:30,NULL,NULL,2014-08-22 08:16:56
2014-08-22 08:02:10,5,9505,2014-08-22 08:02:11,2014-08-22 08:05:41,NULL,2014-08-22 08:08:40
2014-08-22 08:02:40,0,6949,2014-08-22 08:02:41,NULL,NULL,2014-08-22 08:08:22
2014-08-22 08:03:40,5,8076,2014-08-22 08:03:41,NULL,NULL,2014-08-22 08:05:18
2014-08-22 08:04:14,2,7923,2014-08-22 08:04:15,NULL,NULL,2014-08-22 08:05:53
2014-08-22 08:04:17,20,9423,2014-08-22 08:04:18,NULL,NULL,2014-08-22 08:06:08
2014-08-22 08:04:37,20,8514,2014-08-22 08:04:38,NULL,NULL,2014-08-22 08:05:02
2014-08-22 08:04:37,0,1107,2014-08-22 08:04:38,NULL,NULL,2014-08-22 08:17:07
2014-08-22 08:05:01,2,9109,2014-08-22 08:05:02,NULL,NULL,2014-08-22 08:06:07
2014-08-22 08:05:23,2,8076,2014-08-22 08:05:24,NULL,NULL,2014-08-22 08:06:46
2014-08-22 08:05:28,20,9342,2014-08-22 08:05:29,NULL,NULL,2014-08-22 08:08:44
2014-08-22 08:06:50,20,9826,2014-08-22 08:06:50,2014-08-22 08:12:22,2014-08-22 08:13:17,2014-08-22 08:14:32
2014-08-22 08:06:54,20,7923,2014-08-22 08:06:55,NULL,NULL,2014-08-22 08:11:14
2014-08-22 08:07:02,20,8723,2014-08-22 08:07:03,NULL,NULL,2014-08-22 08:12:12
2014-08-22 08:07:40,2,9109,2014-08-22 08:07:41,NULL,NULL,2014-08-22 08:08:50
2014-08-22 08:08:06,20,9423,2014-08-22 08:08:07,NULL,NULL,2014-08-22 08:14:25
2014-08-22 08:09:14,5,1177,2014-08-22 08:09:15,2014-08-22 08:10:30,2014-08-22 08:10:58,2014-08-22 08:15:26
