date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-03-04 08:00:30,20,6940,2014-03-04 08:00:31,NULL,NULL,2014-03-04 08:04:22
2014-03-04 08:01:10,5,6936,2014-03-04 08:01:11,NULL,NULL,2014-03-04 08:06:37
2014-03-04 08:01:15,20,8076,2014-03-04 08:01:16,NULL,NULL,2014-03-04 08:03:34
2014-03-04 08:01:58,2,8190,2014-03-04 08:01:59,NULL,NULL,2014-03-04 08:03:34
2014-03-04 08:02:04,2,8594,2014-03-04 08:02:05,NULL,NULL,2014-03-04 08:03:35
2014-03-04 08:02:25,9,9424,2014-03-04 08:02:26,NULL,NULL,2014-03-04 08:08:03
2014-03-04 08:02:35,20,9423,2014-03-04 08:02:36,NULL,NULL,2014-03-04 08:03:33
2014-03-04 08:02:43,5,9502,2014-03-04 08:02:44,NULL,NULL,2014-03-04 08:07:04
2014-03-04 08:02:55,5,8514,2014-03-04 08:02:55,NULL,NULL,2014-03-04 08:03:38
2014-03-04 08:03:03,20,6931,2014-03-04 08:03:04,2014-03-04 08:06:29,2014-03-04 08:07:45,2014-03-04 08:10:23
2014-03-04 08:03:06,5,6935,2014-03-04 08:03:07,NULL,NULL,2014-03-04 08:04:56
2014-03-04 08:03:15,18,8861,2014-03-04 08:03:16,NULL,NULL,2014-03-04 08:05:45
2014-03-04 08:03:23,20,6947,2014-03-04 08:03:24,NULL,NULL,2014-03-04 08:06:23
2014-03-04 08:03:52,5,6944,2014-03-04 08:03:53,NULL,NULL,2014-03-04 08:05:09
2014-03-04 08:04:38,5,9512,2014-03-04 08:04:39,NULL,NULL,2014-03-04 08:08:12
2014-03-04 08:05:19,5,9423,2014-03-04 08:05:20,NULL,NULL,2014-03-04 08:07:05
2014-03-04 08:05:32,20,8190,2014-03-04 08:05:33,NULL,NULL,2014-03-04 08:11:47
2014-03-04 08:06:09,9,8076,2014-03-04 08:06:10,NULL,NULL,2014-03-04 08:12:13
2014-03-04 08:06:15,20,8594,2014-03-04 08:06:16,NULL,NULL,2014-03-04 08:10:19
