date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-03-31 08:00:47,5,6936,2014-03-31 08:00:48,2014-03-31 08:01:41,2014-03-31 08:02:22,2014-03-31 08:06:41
2014-03-31 08:00:52,20,6944,2014-03-31 08:00:53,NULL,NULL,2014-03-31 08:04:45
2014-03-31 08:01:01,2,6922,2014-03-31 08:01:02,NULL,NULL,2014-03-31 08:03:02
2014-03-31 08:01:09,20,8076,2014-03-31 08:01:10,NULL,NULL,2014-03-31 08:04:57
2014-03-31 08:01:35,20,8594,2014-03-31 08:01:36,NULL,NULL,2014-03-31 08:05:49
2014-03-31 08:01:42,20,6940,2014-03-31 08:01:43,2014-03-31 08:05:25,NULL,2014-03-31 08:06:41
2014-03-31 08:01:59,2,6935,2014-03-31 08:02:00,NULL,NULL,2014-03-31 08:07:11
2014-03-31 08:02:35,5,9512,2014-03-31 08:02:36,2014-03-31 08:03:34,2014-03-31 08:04:04,2014-03-31 08:14:59
2014-03-31 08:02:47,9,9508,2014-03-31 08:02:48,NULL,NULL,2014-03-31 08:04:02
2014-03-31 08:03:35,2,9118,2014-03-31 08:03:36,NULL,NULL,2014-03-31 08:14:59
2014-03-31 08:04:16,20,9345,2014-03-31 08:04:16,NULL,NULL,2014-03-31 08:09:01
2014-03-31 08:04:26,20,8861,2014-03-31 08:04:27,NULL,NULL,2014-03-31 08:07:37
2014-03-31 08:04:32,20,7479,2014-03-31 08:04:33,NULL,NULL,2014-03-31 08:06:11
2014-03-31 08:04:50,0,9691,2014-03-31 08:04:51,NULL,NULL,2014-03-31 08:08:00
2014-03-31 08:05:15,20,7823,2014-03-31 08:05:16,NULL,NULL,2014-03-31 08:14:05
2014-03-31 08:05:19,20,6989,2014-03-31 08:05:20,NULL,NULL,2014-03-31 08:10:35
2014-03-31 08:05:41,20,6922,2014-03-31 08:05:42,NULL,NULL,2014-03-31 08:09:15
2014-03-31 08:06:00,5,9693,2014-03-31 08:06:01,NULL,NULL,2014-03-31 08:08:03
