date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-06-07 09:00:44,5,9341,2014-06-07 09:00:45,NULL,NULL,2014-06-07 09:09:32
2014-06-07 09:02:54,20,6930,2014-06-07 09:02:55,NULL,NULL,2014-06-07 09:09:33
2014-06-07 09:02:59,20,9113,2014-06-07 09:02:59,NULL,NULL,2014-06-07 09:09:28
2014-06-07 09:03:25,20,8077,2014-06-07 09:03:26,NULL,NULL,2014-06-07 09:10:13
2014-06-07 09:03:48,20,6971,2014-06-07 09:03:49,NULL,NULL,2014-06-07 09:09:14
2014-06-07 09:05:59,20,9113,2014-06-07 09:09:30,NULL,NULL,2014-06-07 09:13:52
2014-06-07 09:06:25,20,6930,2014-06-07 09:09:39,NULL,NULL,2014-06-07 09:15:56
2014-06-07 09:06:46,5,9341,2014-06-07 09:09:43,NULL,NULL,2014-06-07 09:19:48
2014-06-07 09:13:17,20,8077,2014-06-07 09:13:18,NULL,NULL,2014-06-07 09:16:16
2014-06-07 09:16:26,5,9113,2014-06-07 09:16:27,NULL,NULL,2014-06-07 09:18:34
2014-06-07 09:17:00,2,6930,2014-06-07 09:17:01,NULL,NULL,2014-06-07 09:25:31
2014-06-07 09:21:29,20,8077,2014-06-07 09:21:30,NULL,NULL,2014-06-07 09:22:46
2014-06-07 09:22:12,2,9113,2014-06-07 09:22:13,NULL,NULL,2014-06-07 09:24:13
2014-06-07 09:23:01,5,9341,2014-06-07 09:23:02,2014-06-07 09:23:53,2014-06-07 09:24:14,2014-06-07 09:27:43
2014-06-07 09:23:53,2,6971,2014-06-07 09:23:54,NULL,NULL,2014-06-07 09:27:43
2014-06-07 09:25:23,9,8077,2014-06-07 09:25:24,NULL,NULL,2014-06-07 09:27:44
2014-06-07 09:25:49,5,9341,2014-06-07 09:25:50,NULL,NULL,2014-06-07 09:28:21
2014-06-07 09:30:16,2,9113,2014-06-07 09:30:17,NULL,NULL,2014-06-07 09:33:15
2014-06-07 09:30:18,5,6930,2014-06-07 09:30:19,NULL,NULL,2014-06-07 09:33:32
2014-06-07 09:31:33,5,6971,2014-06-07 09:31:34,NULL,NULL,2014-06-07 09:35:54
2014-06-07 09:32:40,20,8077,2014-06-07 09:32:41,NULL,NULL,2014-06-07 09:36:02
