date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-06-05 08:00:35,5,1039,2014-06-05 08:00:36,NULL,NULL,2014-06-05 08:07:05
2014-06-05 08:01:20,2,6930,2014-06-05 08:01:21,NULL,NULL,2014-06-05 08:05:28
2014-06-05 08:01:23,20,6922,2014-06-05 08:01:24,2014-06-05 08:02:44,2014-06-05 08:03:14,2014-06-05 08:05:50
2014-06-05 08:01:44,9,1041,2014-06-05 08:01:45,2014-06-05 08:02:20,2014-06-05 08:02:44,2014-06-05 08:07:58
2014-06-05 08:01:53,5,9512,2014-06-05 08:01:54,NULL,NULL,2014-06-05 08:03:57
2014-06-05 08:02:06,2,8189,2014-06-05 08:02:07,NULL,NULL,2014-06-05 08:07:19
2014-06-05 08:02:21,20,8076,2014-06-05 08:02:22,NULL,NULL,2014-06-05 08:07:58
2014-06-05 08:02:36,20,7479,2014-06-05 08:02:37,NULL,NULL,2014-06-05 08:07:21
2014-06-05 08:02:45,20,9118,2014-06-05 08:02:46,NULL,NULL,2014-06-05 08:04:23
2014-06-05 08:03:01,20,8514,2014-06-05 08:03:02,NULL,NULL,2014-06-05 08:03:39
2014-06-05 08:03:02,20,8077,2014-06-05 08:03:03,NULL,NULL,2014-06-05 08:05:39
2014-06-05 08:03:10,20,6935,2014-06-05 08:03:11,NULL,NULL,2014-06-05 08:06:53
2014-06-05 08:03:16,2,7531,2014-06-05 08:03:17,NULL,NULL,2014-06-05 08:08:04
2014-06-05 08:03:49,20,8861,2014-06-05 08:03:50,NULL,NULL,2014-06-05 08:06:23
2014-06-05 08:03:51,2,7823,2014-06-05 08:03:52,NULL,NULL,2014-06-05 08:10:58
2014-06-05 08:04:04,20,6922,2014-06-05 08:04:05,2014-06-05 08:05:18,2014-06-05 08:05:58,2014-06-05 08:07:27
2014-06-05 08:04:48,20,9512,2014-06-05 08:04:49,NULL,NULL,2014-06-05 08:11:44
2014-06-05 08:05:15,20,9118,2014-06-05 08:05:16,2014-06-05 08:07:02,2014-06-05 08:07:54,2014-06-05 08:08:24
2014-06-05 08:05:15,5,1038,2014-06-05 08:05:16,NULL,NULL,2014-06-05 08:07:00
2014-06-05 08:06:12,20,8514,2014-06-05 08:06:13,NULL,NULL,2014-06-05 08:07:20
2014-06-05 08:07:08,5,1040,2014-06-05 08:07:09,2014-06-05 08:09:06,2014-06-05 08:09:38,2014-06-05 08:16:13
2014-06-05 08:07:43,20,6930,2014-06-05 08:07:44,NULL,NULL,2014-06-05 08:13:57
2014-06-05 08:07:46,20,8077,2014-06-05 08:07:47,NULL,NULL,2014-06-05 08:18:22
2014-06-05 08:09:09,20,6922,2014-06-05 08:09:10,NULL,NULL,2014-06-05 08:16:13
2014-06-05 08:09:30,20,6935,2014-06-05 08:09:31,NULL,NULL,2014-06-05 08:16:48
2014-06-05 08:09:48,20,8189,2014-06-05 08:09:49,NULL,NULL,2014-06-05 08:15:21
2014-06-05 08:09:48,5,1041,2014-06-05 08:09:49,2014-06-05 08:10:46,2014-06-05 08:11:52,2014-06-05 08:14:55
2014-06-05 08:10:04,20,7479,2014-06-05 08:10:05,NULL,NULL,2014-06-05 08:15:15
2014-06-05 08:10:04,20,8514,2014-06-05 08:10:05,NULL,NULL,2014-06-05 08:10:27
2014-06-05 08:10:23,5,1038,2014-06-05 08:10:24,NULL,NULL,2014-06-05 08:13:31
2014-06-05 08:10:25,20,9118,2014-06-05 08:10:26,NULL,NULL,2014-06-05 08:20:08
2014-06-05 08:10:44,5,1039,2014-06-05 08:10:45,NULL,NULL,2014-06-05 08:19:35
2014-06-05 08:10:48,2,8076,2014-06-05 08:10:49,NULL,NULL,2014-06-05 08:14:55
2014-06-05 08:11:01,2,7531,2014-06-05 08:11:01,NULL,NULL,2014-06-05 08:12:00
2014-06-05 08:11:10,5,8861,2014-06-05 08:11:11,2014-06-05 08:12:50,2014-06-05 08:13:28,2014-06-05 08:14:21
2014-06-05 08:11:33,20,8514,2014-06-05 08:11:34,NULL,NULL,2014-06-05 08:11:49
2014-06-05 08:11:34,5,7823,2014-06-05 08:11:35,NULL,NULL,2014-06-05 08:14:34
2014-06-05 08:11:43,5,9512,2014-06-05 08:11:49,NULL,NULL,2014-06-05 08:22:03
2014-06-05 08:11:52,20,8514,2014-06-05 08:11:53,NULL,NULL,2014-06-05 08:12:14
2014-06-05 08:12:27,20,7531,2014-06-05 08:12:28,NULL,NULL,2014-06-05 08:13:33
2014-06-05 08:12:46,5,1041,2014-06-05 08:12:47,NULL,NULL,2014-06-05 08:15:52
2014-06-05 08:12:57,20,8514,2014-06-05 08:12:58,NULL,NULL,2014-06-05 08:13:15
2014-06-05 08:13:14,9,1040,2014-06-05 08:13:15,NULL,NULL,2014-06-05 08:21:55
2014-06-05 08:13:17,20,8861,2014-06-05 08:13:31,NULL,NULL,2014-06-05 08:14:53
2014-06-05 08:13:22,20,7531,2014-06-05 08:13:34,NULL,NULL,2014-06-05 08:14:18
2014-06-05 08:13:42,2,6930,2014-06-05 08:14:02,NULL,NULL,2014-06-05 08:29:19
2014-06-05 08:13:46,20,7531,2014-06-05 08:14:23,NULL,NULL,2014-06-05 08:17:44
2014-06-05 08:14:00,20,7823,2014-06-05 08:14:45,NULL,NULL,2014-06-05 08:22:41
2014-06-05 08:14:28,20,8076,2014-06-05 08:14:57,NULL,NULL,2014-06-05 08:19:25
2014-06-05 08:14:48,9,1038,2014-06-05 08:14:49,NULL,NULL,2014-06-05 08:25:32
2014-06-05 08:14:52,9,8861,2014-06-05 08:15:01,NULL,NULL,2014-06-05 08:20:00
2014-06-05 08:14:54,5,7479,2014-06-05 08:15:20,NULL,NULL,2014-06-05 08:19:41
2014-06-05 08:15:10,9,8189,2014-06-05 08:15:27,NULL,2014-06-05 08:16:04,2014-06-05 08:24:08
2014-06-05 08:15:16,5,1041,2014-06-05 08:15:58,NULL,NULL,2014-06-05 08:19:06
2014-06-05 08:15:34,20,8189,2014-06-05 08:16:07,2014-06-05 08:17:43,2014-06-05 08:18:24,2014-06-05 08:20:34
2014-06-05 08:16:11,5,6922,2014-06-05 08:16:19,NULL,NULL,2014-06-05 08:18:56
2014-06-05 08:16:44,9,8514,2014-06-05 08:16:45,NULL,NULL,2014-06-05 08:17:04
2014-06-05 08:16:56,5,6935,2014-06-05 08:16:56,NULL,NULL,2014-06-05 08:18:12
2014-06-05 08:17:36,20,8514,2014-06-05 08:17:37,NULL,NULL,2014-06-05 08:19:05
2014-06-05 08:17:44,2,7531,2014-06-05 08:17:50,NULL,NULL,2014-06-05 08:19:12
2014-06-05 08:17:49,5,6935,2014-06-05 08:18:17,NULL,NULL,2014-06-05 08:21:14
2014-06-05 08:17:51,20,8077,2014-06-05 08:18:28,2014-06-05 08:19:39,2014-06-05 08:20:05,2014-06-05 08:21:42
2014-06-05 08:18:10,5,8189,2014-06-05 08:18:27,NULL,NULL,2014-06-05 08:18:34
2014-06-05 08:18:41,2,8189,2014-06-05 08:18:42,2014-06-05 08:20:58,2014-06-05 08:21:56,2014-06-05 08:25:19
2014-06-05 08:19:31,5,6922,2014-06-05 08:19:32,NULL,NULL,2014-06-05 08:25:51
2014-06-05 08:19:35,5,1041,2014-06-05 08:19:36,2014-06-05 08:20:50,2014-06-05 08:21:36,2014-06-05 08:27:17
2014-06-05 08:20:06,20,7531,2014-06-05 08:20:07,NULL,NULL,2014-06-05 08:24:12
2014-06-05 08:20:33,9,8514,2014-06-05 08:20:34,NULL,NULL,2014-06-05 08:21:21
2014-06-05 08:20:51,20,8076,2014-06-05 08:20:52,NULL,NULL,2014-06-05 08:27:17
2014-06-05 08:21:16,20,7479,2014-06-05 08:21:17,NULL,NULL,2014-06-05 08:26:07
2014-06-05 08:21:17,2,8861,2014-06-05 08:21:18,NULL,NULL,2014-06-05 08:21:21
2014-06-05 08:22:15,20,8077,2014-06-05 08:22:16,NULL,NULL,2014-06-05 08:28:32
2014-06-05 08:22:20,0,1039,2014-06-05 08:22:21,2014-06-05 08:23:16,2014-06-05 08:23:43,2014-06-05 08:27:58
2014-06-05 08:22:27,2,9118,2014-06-05 08:22:28,NULL,NULL,2014-06-05 08:35:21
2014-06-05 08:22:30,20,6935,2014-06-05 08:22:31,NULL,NULL,2014-06-05 08:25:14
2014-06-05 08:22:45,5,8861,2014-06-05 08:22:46,NULL,NULL,2014-06-05 08:23:21
2014-06-05 08:22:48,2,8514,2014-06-05 08:22:49,NULL,NULL,2014-06-05 08:23:21
2014-06-05 08:22:53,5,1041,2014-06-05 08:22:54,NULL,NULL,2014-06-05 08:25:20
2014-06-05 08:23:06,2,8189,2014-06-05 08:23:07,NULL,NULL,2014-06-05 08:24:20
2014-06-05 08:23:16,2,7823,2014-06-05 08:23:17,NULL,NULL,2014-06-05 08:27:40
2014-06-05 08:23:18,20,9512,2014-06-05 08:23:19,2014-06-05 08:26:43,2014-06-05 08:27:13,2014-06-05 08:27:58
2014-06-05 08:23:18,9,1040,2014-06-05 08:23:19,NULL,NULL,2014-06-05 08:44:00
2014-06-05 08:23:26,20,8514,2014-06-05 08:23:27,NULL,NULL,2014-06-05 08:23:56
2014-06-05 08:23:47,2,8861,2014-06-05 08:23:48,NULL,NULL,2014-06-05 08:24:40
2014-06-05 08:24:13,2,8514,2014-06-05 08:24:14,NULL,NULL,2014-06-05 08:25:22
2014-06-05 08:24:20,9,1039,2014-06-05 08:24:21,NULL,NULL,2014-06-05 08:31:45
2014-06-05 08:24:32,5,7531,2014-06-05 08:24:33,2014-06-05 08:26:20,2014-06-05 08:27:10,2014-06-05 08:27:53
2014-06-05 08:24:34,5,8189,2014-06-05 08:24:35,NULL,NULL,2014-06-05 08:29:49
2014-06-05 08:24:46,5,8861,2014-06-05 08:24:47,NULL,NULL,2014-06-05 08:26:33
2014-06-05 08:24:49,5,1041,2014-06-05 08:25:22,2014-06-05 08:27:00,NULL,2014-06-05 08:29:49
2014-06-05 08:24:52,20,6922,2014-06-05 08:25:57,NULL,NULL,2014-06-05 08:33:21
2014-06-05 08:24:52,9,NULL,NULL,NULL,NULL,2014-06-05 08:25:17
2014-06-05 08:24:55,20,7479,2014-06-05 08:26:36,NULL,NULL,2014-06-05 08:36:24
2014-06-05 08:25:34,20,8861,2014-06-05 08:26:42,NULL,NULL,2014-06-05 08:30:36
2014-06-05 08:25:51,20,7531,2014-06-05 08:27:13,NULL,NULL,2014-06-05 08:33:45
2014-06-05 08:25:59,5,1038,2014-06-05 08:26:00,NULL,NULL,2014-06-05 08:29:36
2014-06-05 08:26:15,20,9512,2014-06-05 08:27:19,2014-06-05 08:36:59,2014-06-05 08:38:19,2014-06-05 08:43:29
2014-06-05 08:26:24,5,8076,2014-06-05 08:27:18,NULL,NULL,2014-06-05 08:35:17
2014-06-05 08:26:43,2,7823,2014-06-05 08:27:45,NULL,NULL,2014-06-05 08:30:04
2014-06-05 08:26:45,9,8077,2014-06-05 08:28:37,NULL,NULL,2014-06-05 08:39:24
