date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-10-10 08:01:35,5,6989,2014-10-10 08:01:36,2014-10-10 08:06:19,2014-10-10 08:06:29,2014-10-10 08:06:53
2014-10-10 08:01:46,20,6947,2014-10-10 08:01:47,NULL,NULL,2014-10-10 08:03:21
2014-10-10 08:01:55,5,8076,2014-10-10 08:01:56,NULL,NULL,2014-10-10 08:04:00
2014-10-10 08:04:48,5,6930,2014-10-10 08:04:49,NULL,NULL,2014-10-10 08:09:14
2014-10-10 08:06:02,20,9575,2014-10-10 08:06:03,NULL,NULL,2014-10-10 08:08:57
2014-10-10 08:06:42,0,1102,2014-10-10 08:06:43,NULL,NULL,2014-10-10 08:07:35
2014-10-10 08:07:50,5,1407,2014-10-10 08:07:50,NULL,NULL,2014-10-10 08:09:21
2014-10-10 08:09:32,20,9434,2014-10-10 08:09:33,NULL,NULL,2014-10-10 08:11:40
2014-10-10 08:09:42,5,1405,2014-10-10 08:09:43,2014-10-10 08:10:22,2014-10-10 08:10:45,2014-10-10 08:13:24
2014-10-10 08:09:54,20,9109,2014-10-10 08:09:55,NULL,NULL,2014-10-10 08:10:39
2014-10-10 08:10:08,2,6947,2014-10-10 08:10:09,NULL,NULL,2014-10-10 08:13:51
2014-10-10 08:10:26,20,8076,2014-10-10 08:10:27,NULL,NULL,2014-10-10 08:13:24
2014-10-10 08:12:51,5,1107,2014-10-10 08:12:52,NULL,NULL,2014-10-10 08:13:44
2014-10-10 08:14:19,5,9423,2014-10-10 08:14:20,NULL,NULL,2014-10-10 08:16:05
2014-10-10 08:14:32,20,6989,2014-10-10 08:14:33,NULL,NULL,2014-10-10 08:23:32
2014-10-10 08:14:47,2,8373,2014-10-10 08:14:48,NULL,NULL,2014-10-10 08:17:45
2014-10-10 08:15:33,20,1102,2014-10-10 08:15:34,NULL,NULL,2014-10-10 08:19:32
2014-10-10 08:15:43,20,9575,2014-10-10 08:15:44,NULL,NULL,2014-10-10 08:22:37
2014-10-10 08:16:37,20,6930,2014-10-10 08:16:38,NULL,NULL,2014-10-10 08:24:10
2014-10-10 08:16:55,2,9109,2014-10-10 08:16:56,NULL,NULL,2014-10-10 08:21:39
2014-10-10 08:17:02,5,1405,2014-10-10 08:17:03,NULL,NULL,2014-10-10 08:22:24
2014-10-10 08:17:46,5,9434,2014-10-10 08:17:47,2014-10-10 08:20:00,NULL,2014-10-10 08:20:33
2014-10-10 08:17:55,20,8076,2014-10-10 08:17:56,NULL,NULL,2014-10-10 08:23:41
2014-10-10 08:18:13,5,1107,2014-10-10 08:18:14,NULL,NULL,2014-10-10 08:26:12
2014-10-10 08:18:23,5,6947,2014-10-10 08:18:24,NULL,NULL,2014-10-10 08:23:22
2014-10-10 08:21:40,5,9423,2014-10-10 08:21:41,NULL,NULL,2014-10-10 08:24:33
2014-10-10 08:22:51,9,8373,2014-10-10 08:22:52,NULL,NULL,2014-10-10 08:23:21
2014-10-10 08:23:41,5,1407,2014-10-10 08:23:42,2014-10-10 08:31:27,NULL,2014-10-10 08:32:28
