date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-10-04 09:00:13,9,9503,2014-10-04 09:00:14,NULL,NULL,2014-10-04 09:01:13
2014-10-04 09:00:50,9,8191,2014-10-04 09:00:51,NULL,NULL,2014-10-04 09:01:25
2014-10-04 09:01:00,2,7030,2014-10-04 09:01:01,NULL,NULL,2014-10-04 09:02:39
2014-10-04 09:01:00,2,7923,2014-10-04 09:01:01,NULL,NULL,2014-10-04 09:02:28
2014-10-04 09:01:04,5,8723,2014-10-04 09:01:05,2014-10-04 09:04:02,NULL,2014-10-04 09:06:06
2014-10-04 09:01:19,2,9427,2014-10-04 09:01:20,NULL,NULL,2014-10-04 09:08:50
2014-10-04 09:01:59,20,9503,2014-10-04 09:02:00,2014-10-04 09:05:45,NULL,2014-10-04 09:07:33
2014-10-04 09:03:18,2,8191,2014-10-04 09:03:19,NULL,NULL,2014-10-04 09:05:13
2014-10-04 09:03:56,2,7923,2014-10-04 09:03:57,NULL,NULL,2014-10-04 09:06:50
2014-10-04 09:05:05,5,8514,2014-10-04 09:05:06,NULL,NULL,2014-10-04 09:05:32
2014-10-04 09:05:14,2,7030,2014-10-04 09:05:15,NULL,NULL,2014-10-04 09:07:00
2014-10-04 09:05:22,20,8191,2014-10-04 09:05:23,NULL,NULL,2014-10-04 09:09:16
2014-10-04 09:05:25,5,NULL,NULL,NULL,NULL,2014-10-04 09:05:36
2014-10-04 09:06:20,2,8514,2014-10-04 09:06:21,NULL,NULL,2014-10-04 09:06:39
2014-10-04 09:06:43,2,8723,2014-10-04 09:06:44,NULL,NULL,2014-10-04 09:07:54
2014-10-04 09:06:43,5,8514,2014-10-04 09:06:44,NULL,NULL,2014-10-04 09:07:02
2014-10-04 09:06:46,2,7923,2014-10-04 09:06:50,NULL,NULL,2014-10-04 09:06:56
2014-10-04 09:06:51,5,7923,2014-10-04 09:06:57,NULL,NULL,2014-10-04 09:07:00
2014-10-04 09:06:59,2,7030,2014-10-04 09:07:01,NULL,NULL,2014-10-04 09:09:01
2014-10-04 09:07:42,2,7923,2014-10-04 09:07:43,NULL,NULL,2014-10-04 09:09:23
2014-10-04 09:08:04,2,9503,2014-10-04 09:08:05,NULL,NULL,2014-10-04 09:09:07
2014-10-04 09:08:20,2,8723,2014-10-04 09:08:50,2014-10-04 09:14:00,2014-10-04 09:14:59,2014-10-04 09:15:39
2014-10-04 09:08:24,5,9427,2014-10-04 09:08:58,NULL,NULL,2014-10-04 09:15:10
2014-10-04 09:08:35,20,9503,2014-10-04 09:09:10,NULL,NULL,2014-10-04 09:12:08
2014-10-04 09:08:37,5,8191,2014-10-04 09:09:16,NULL,NULL,2014-10-04 09:10:37
2014-10-04 09:08:39,2,7030,2014-10-04 09:09:03,NULL,NULL,2014-10-04 09:16:27
2014-10-04 09:09:21,2,7923,2014-10-04 09:09:24,NULL,NULL,2014-10-04 09:09:24
2014-10-04 09:09:30,2,7923,2014-10-04 09:09:31,NULL,NULL,2014-10-04 09:10:45
2014-10-04 09:10:18,20,8191,2014-10-04 09:10:40,2014-10-04 09:19:26,NULL,2014-10-04 09:21:37
2014-10-04 09:10:18,2,7923,2014-10-04 09:10:45,NULL,NULL,2014-10-04 09:14:13
2014-10-04 09:10:52,2,9503,2014-10-04 09:12:15,NULL,NULL,2014-10-04 09:13:24
2014-10-04 09:11:42,2,8514,2014-10-04 09:12:57,NULL,NULL,2014-10-04 09:14:12
2014-10-04 09:11:49,2,9503,2014-10-04 09:13:30,NULL,NULL,2014-10-04 09:16:10
2014-10-04 09:11:53,5,8514,2014-10-04 09:14:13,NULL,NULL,2014-10-04 09:15:50
2014-10-04 09:12:00,2,7923,2014-10-04 09:14:14,NULL,NULL,2014-10-04 09:18:08
2014-10-04 09:12:53,2,8723,2014-10-04 09:15:02,NULL,NULL,2014-10-04 09:16:28
2014-10-04 09:12:57,5,9427,2014-10-04 09:15:11,NULL,NULL,2014-10-04 09:16:49
2014-10-04 09:14:03,2,8514,2014-10-04 09:15:51,NULL,NULL,2014-10-04 09:17:05
2014-10-04 09:14:38,2,9503,2014-10-04 09:16:12,NULL,NULL,2014-10-04 09:16:14
2014-10-04 09:16:27,2,9503,2014-10-04 09:16:28,NULL,NULL,2014-10-04 09:18:08
2014-10-04 09:17:06,20,8723,2014-10-04 09:17:07,NULL,NULL,2014-10-04 09:24:07
2014-10-04 09:18:20,5,9427,2014-10-04 09:18:21,2014-10-04 09:21:54,NULL,2014-10-04 09:23:32
2014-10-04 09:18:23,5,8514,2014-10-04 09:18:24,NULL,NULL,2014-10-04 09:21:29
2014-10-04 09:19:06,2,7030,2014-10-04 09:19:07,NULL,NULL,2014-10-04 09:20:41
2014-10-04 09:20:05,2,7923,2014-10-04 09:20:06,NULL,NULL,2014-10-04 09:22:04
2014-10-04 09:20:21,9,9503,2014-10-04 09:20:22,NULL,NULL,2014-10-04 09:21:59
2014-10-04 09:20:30,5,8191,2014-10-04 09:21:38,NULL,NULL,2014-10-04 09:25:44
2014-10-04 09:21:59,2,7030,2014-10-04 09:22:00,NULL,NULL,2014-10-04 09:32:07
2014-10-04 09:22:26,5,8514,2014-10-04 09:22:27,NULL,NULL,2014-10-04 09:25:02
2014-10-04 09:26:21,2,9503,2014-10-04 09:26:22,NULL,NULL,2014-10-04 09:27:19
2014-10-04 09:26:36,2,7923,2014-10-04 09:26:37,NULL,NULL,2014-10-04 09:27:46
2014-10-04 09:26:44,5,9427,2014-10-04 09:26:45,NULL,NULL,2014-10-04 09:29:04
2014-10-04 09:29:18,2,8514,2014-10-04 09:29:19,NULL,NULL,2014-10-04 09:30:20
2014-10-04 09:29:24,5,8191,2014-10-04 09:29:25,NULL,NULL,2014-10-04 09:30:54
2014-10-04 09:29:40,2,9503,2014-10-04 09:29:41,NULL,NULL,2014-10-04 09:33:08
2014-10-04 09:29:48,2,7923,2014-10-04 09:29:49,NULL,NULL,2014-10-04 09:33:11
2014-10-04 09:30:20,2,9427,2014-10-04 09:30:21,NULL,NULL,2014-10-04 09:31:31
2014-10-04 09:32:20,2,8514,2014-10-04 09:32:21,NULL,NULL,2014-10-04 09:34:08
2014-10-04 09:33:01,2,8723,2014-10-04 09:33:01,NULL,NULL,2014-10-04 09:34:08
2014-10-04 09:35:07,20,8191,2014-10-04 09:35:08,2014-10-04 09:38:27,NULL,2014-10-04 09:48:51
2014-10-04 09:36:18,2,9427,2014-10-04 09:36:19,NULL,NULL,2014-10-04 09:37:41
2014-10-04 09:36:49,2,7030,2014-10-04 09:36:50,NULL,NULL,2014-10-04 09:38:16
2014-10-04 09:37:26,5,9503,2014-10-04 09:37:27,NULL,NULL,2014-10-04 09:38:28
2014-10-04 09:38:27,20,7923,2014-10-04 09:38:28,NULL,NULL,2014-10-04 09:43:49
2014-10-04 09:39:05,2,8723,2014-10-04 09:39:06,NULL,NULL,2014-10-04 09:40:24
2014-10-04 09:40:17,2,8514,2014-10-04 09:40:18,NULL,NULL,2014-10-04 09:46:18
2014-10-04 09:41:11,20,9427,2014-10-04 09:41:11,NULL,NULL,2014-10-04 09:47:05
2014-10-04 09:42:10,2,7030,2014-10-04 09:42:11,NULL,NULL,2014-10-04 09:43:57
2014-10-04 09:42:56,2,9503,2014-10-04 09:42:57,NULL,NULL,2014-10-04 09:44:15
2014-10-04 09:43:19,2,8723,2014-10-04 09:43:20,NULL,NULL,2014-10-04 09:50:42
2014-10-04 09:44:31,2,7923,2014-10-04 09:44:32,NULL,NULL,2014-10-04 09:46:27
2014-10-04 09:44:43,5,9503,2014-10-04 09:44:44,NULL,NULL,2014-10-04 09:45:57
2014-10-04 09:45:10,2,7030,2014-10-04 09:45:11,NULL,NULL,2014-10-04 09:47:21
2014-10-04 09:45:12,2,9503,2014-10-04 09:46:01,NULL,NULL,2014-10-04 09:47:19
2014-10-04 09:47:04,2,7923,2014-10-04 09:47:05,NULL,NULL,2014-10-04 09:48:32
2014-10-04 09:47:12,20,8514,2014-10-04 09:47:13,NULL,NULL,2014-10-04 10:00:07
2014-10-04 09:47:33,5,9427,2014-10-04 09:47:34,NULL,NULL,2014-10-04 09:51:25
2014-10-04 09:47:46,0,9503,2014-10-04 09:47:47,NULL,NULL,2014-10-04 09:49:30
2014-10-04 09:47:51,2,7030,2014-10-04 09:47:52,NULL,NULL,2014-10-04 09:49:39
2014-10-04 09:47:58,2,7923,2014-10-04 09:48:39,NULL,NULL,2014-10-04 09:52:46
2014-10-04 09:48:04,2,NULL,NULL,NULL,NULL,2014-10-04 09:48:40
2014-10-04 09:48:53,5,8191,2014-10-04 09:48:54,NULL,NULL,2014-10-04 09:50:49
2014-10-04 09:48:57,2,9503,2014-10-04 09:49:37,NULL,NULL,2014-10-04 09:53:25
2014-10-04 09:49:10,2,7030,2014-10-04 09:49:39,NULL,NULL,2014-10-04 09:57:34
2014-10-04 09:49:45,5,8723,2014-10-04 09:50:42,2014-10-04 09:52:14,NULL,2014-10-04 09:56:26
2014-10-04 09:50:27,2,NULL,NULL,NULL,NULL,2014-10-04 09:50:49
2014-10-04 09:51:05,2,8191,2014-10-04 09:51:06,NULL,NULL,2014-10-04 09:57:24
2014-10-04 09:51:48,5,9427,2014-10-04 09:51:49,NULL,NULL,2014-10-04 09:54:33
2014-10-04 09:51:55,2,7923,2014-10-04 09:52:46,NULL,NULL,2014-10-04 09:54:31
2014-10-04 09:52:38,2,9503,2014-10-04 09:53:26,NULL,NULL,2014-10-04 09:53:28
2014-10-04 09:52:47,2,9503,2014-10-04 09:53:29,NULL,NULL,2014-10-04 09:55:01
2014-10-04 09:53:02,20,7923,2014-10-04 09:54:32,NULL,NULL,2014-10-04 09:55:57
2014-10-04 09:53:17,5,9427,2014-10-04 09:54:41,NULL,NULL,2014-10-04 09:57:18
2014-10-04 09:53:22,2,9503,2014-10-04 09:55:02,NULL,NULL,2014-10-04 09:58:30
2014-10-04 09:54:13,9,7923,2014-10-04 09:55:58,NULL,NULL,2014-10-04 09:57:17
2014-10-04 09:54:41,2,8723,2014-10-04 09:56:26,NULL,NULL,2014-10-04 09:57:21
2014-10-04 09:55:08,2,7923,2014-10-04 09:57:17,NULL,NULL,2014-10-04 10:03:12
2014-10-04 09:57:57,2,9427,2014-10-04 09:57:58,NULL,NULL,2014-10-04 09:59:52
2014-10-04 09:58:36,9,8723,2014-10-04 09:58:37,NULL,NULL,2014-10-04 10:03:43
2014-10-04 10:01:05,2,8191,2014-10-04 10:01:06,NULL,NULL,2014-10-04 10:03:34
2014-10-04 10:01:14,2,7030,2014-10-04 10:01:15,NULL,NULL,2014-10-04 10:07:46
2014-10-04 10:02:43,2,8514,2014-10-04 10:02:44,NULL,NULL,2014-10-04 10:04:12
2014-10-04 10:03:09,2,9828,2014-10-04 10:03:10,NULL,NULL,2014-10-04 10:04:50
2014-10-04 10:04:54,2,9427,2014-10-04 10:04:55,NULL,NULL,2014-10-04 10:05:19
2014-10-04 10:05:20,2,7923,2014-10-04 10:05:21,NULL,NULL,2014-10-04 10:07:39
2014-10-04 10:05:39,2,8191,2014-10-04 10:05:40,NULL,NULL,2014-10-04 10:06:55
2014-10-04 10:06:41,2,8514,2014-10-04 10:06:42,NULL,NULL,2014-10-04 10:07:58
2014-10-04 10:07:08,2,9503,2014-10-04 10:07:09,NULL,NULL,2014-10-04 10:08:16
