date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-05-01 08:01:06,20,6975,2014-05-01 08:01:07,2014-05-01 08:02:42,NULL,2014-05-01 08:03:59
2014-05-01 08:01:17,2,6940,2014-05-01 08:01:18,NULL,NULL,2014-05-01 08:05:32
2014-05-01 08:01:23,2,6935,2014-05-01 08:01:24,NULL,NULL,2014-05-01 08:11:05
2014-05-01 08:01:32,5,9512,2014-05-01 08:01:33,NULL,NULL,2014-05-01 08:06:23
2014-05-01 08:01:43,20,6952,2014-05-01 08:01:44,NULL,NULL,2014-05-01 08:05:35
2014-05-01 08:01:43,5,8391,2014-05-01 08:01:44,NULL,NULL,2014-05-01 08:05:42
2014-05-01 08:02:28,9,9423,2014-05-01 08:02:29,2014-05-01 08:03:51,NULL,2014-05-01 08:04:27
2014-05-01 08:03:18,5,9691,2014-05-01 08:03:19,NULL,NULL,2014-05-01 08:05:50
2014-05-01 08:03:29,20,8076,2014-05-01 08:03:30,NULL,NULL,2014-05-01 08:12:00
2014-05-01 08:04:20,5,9693,2014-05-01 08:04:20,NULL,NULL,2014-05-01 08:07:57
2014-05-01 08:04:47,5,9502,2014-05-01 08:04:48,NULL,NULL,2014-05-01 08:05:13
2014-05-01 08:05:15,20,6922,2014-05-01 08:05:16,NULL,NULL,2014-05-01 08:10:35
2014-05-01 08:05:28,5,8514,2014-05-01 08:05:29,NULL,NULL,2014-05-01 08:05:48
2014-05-01 08:05:51,9,8189,2014-05-01 08:05:52,NULL,NULL,2014-05-01 08:11:02
2014-05-01 08:06:25,5,9425,2014-05-01 08:06:26,NULL,NULL,2014-05-01 08:11:11
2014-05-01 08:06:46,5,9424,2014-05-01 08:06:47,NULL,NULL,2014-05-01 08:07:26
2014-05-01 08:06:49,5,9345,2014-05-01 08:06:50,NULL,NULL,2014-05-01 08:11:16
2014-05-01 08:07:46,5,6975,2014-05-01 08:07:47,NULL,NULL,2014-05-01 08:15:33
2014-05-01 08:07:50,9,9423,2014-05-01 08:07:51,NULL,NULL,2014-05-01 08:16:08
2014-05-01 08:08:03,5,9502,2014-05-01 08:08:04,NULL,NULL,2014-05-01 08:17:49
