date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-05-28 08:01:18,5,6947,2014-05-28 08:01:19,NULL,NULL,2014-05-28 08:04:33
2014-05-28 08:01:22,2,6989,2014-05-28 08:01:23,NULL,NULL,2014-05-28 08:05:09
2014-05-28 08:02:02,20,6932,2014-05-28 08:02:03,2014-05-28 08:05:08,2014-05-28 08:06:38,2014-05-28 08:09:08
2014-05-28 08:02:07,2,6926,2014-05-28 08:02:07,NULL,NULL,2014-05-28 08:04:43
2014-05-28 08:02:15,5,9694,2014-05-28 08:02:16,NULL,NULL,2014-05-28 08:03:44
2014-05-28 08:02:38,5,8076,2014-05-28 08:02:39,2014-05-28 08:03:54,2014-05-28 08:04:17,2014-05-28 08:04:41
2014-05-28 08:02:38,20,7003,2014-05-28 08:02:39,NULL,NULL,2014-05-28 08:03:50
2014-05-28 08:02:40,5,1039,2014-05-28 08:02:41,2014-05-28 08:04:19,2014-05-28 08:04:49,2014-05-28 08:13:27
2014-05-28 08:03:24,20,9512,2014-05-28 08:03:25,NULL,NULL,2014-05-28 08:18:07
2014-05-28 08:03:27,2,9422,2014-05-28 08:03:28,NULL,NULL,2014-05-28 08:04:08
2014-05-28 08:03:30,5,9695,2014-05-28 08:03:31,2014-05-28 08:04:20,2014-05-28 08:04:38,2014-05-28 08:09:11
2014-05-28 08:03:34,2,6930,2014-05-28 08:03:35,NULL,NULL,2014-05-28 08:05:18
2014-05-28 08:03:44,20,7479,2014-05-28 08:03:45,NULL,NULL,2014-05-28 08:05:06
2014-05-28 08:03:57,20,9118,2014-05-28 08:03:58,NULL,NULL,2014-05-28 08:05:20
2014-05-28 08:03:57,5,9693,2014-05-28 08:03:58,NULL,NULL,2014-05-28 08:09:21
2014-05-28 08:04:02,5,1041,2014-05-28 08:04:03,NULL,NULL,2014-05-28 08:08:02
2014-05-28 08:04:20,2,9109,2014-05-28 08:04:21,NULL,NULL,2014-05-28 08:13:27
2014-05-28 08:04:22,2,8189,2014-05-28 08:04:23,NULL,NULL,2014-05-28 08:09:11
