date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-05-27 08:00:32,20,6989,2014-05-27 08:00:33,NULL,NULL,2014-05-27 08:08:37
2014-05-27 08:00:40,20,6947,2014-05-27 08:00:41,NULL,NULL,2014-05-27 08:03:48
2014-05-27 08:01:12,5,9695,2014-05-27 08:01:13,NULL,NULL,2014-05-27 08:05:00
2014-05-27 08:01:19,2,8076,2014-05-27 08:01:20,NULL,NULL,2014-05-27 08:03:38
2014-05-27 08:01:20,20,6922,2014-05-27 08:01:21,NULL,NULL,2014-05-27 08:03:23
2014-05-27 08:01:24,20,6935,2014-05-27 08:01:25,NULL,NULL,2014-05-27 08:06:47
2014-05-27 08:01:28,5,9694,2014-05-27 08:01:29,NULL,NULL,2014-05-27 08:03:48
2014-05-27 08:02:12,5,1038,2014-05-27 08:02:13,NULL,NULL,2014-05-27 08:06:19
2014-05-27 08:03:24,5,1041,2014-05-27 08:03:25,NULL,NULL,2014-05-27 08:24:07
2014-05-27 08:03:35,20,8189,2014-05-27 08:03:36,NULL,NULL,2014-05-27 08:10:00
2014-05-27 08:03:47,20,6944,2014-05-27 08:03:48,NULL,NULL,2014-05-27 08:08:34
2014-05-27 08:04:35,9,1039,2014-05-27 08:04:36,NULL,NULL,2014-05-27 08:04:42
2014-05-27 08:04:55,20,8861,2014-05-27 08:04:56,NULL,NULL,2014-05-27 08:06:09
2014-05-27 08:05:43,5,9826,2014-05-27 08:05:43,NULL,NULL,2014-05-27 08:08:04
2014-05-27 08:06:01,5,6922,2014-05-27 08:06:02,NULL,NULL,2014-05-27 08:08:35
2014-05-27 08:06:06,20,7531,2014-05-27 08:06:07,NULL,NULL,2014-05-27 08:08:11
2014-05-27 08:06:51,2,8076,2014-05-27 08:06:52,NULL,NULL,2014-05-27 08:13:45
2014-05-27 08:06:58,9,6947,2014-05-27 08:06:59,NULL,NULL,2014-05-27 08:12:46
2014-05-27 08:07:00,5,9694,2014-05-27 08:07:01,NULL,NULL,2014-05-27 08:13:14
2014-05-27 08:07:03,20,8861,2014-05-27 08:07:04,NULL,NULL,2014-05-27 08:07:08
2014-05-27 08:07:12,5,9695,2014-05-27 08:07:13,NULL,NULL,2014-05-27 08:13:36
2014-05-27 08:07:13,5,1039,2014-05-27 08:07:14,NULL,NULL,2014-05-27 08:12:20
2014-05-27 08:07:18,20,6935,2014-05-27 08:07:19,NULL,NULL,2014-05-27 08:12:09
2014-05-27 08:07:19,20,8861,2014-05-27 08:07:20,NULL,NULL,2014-05-27 08:14:50
2014-05-27 08:08:03,2,7531,2014-05-27 08:08:13,NULL,NULL,2014-05-27 08:13:47
2014-05-27 08:08:03,20,6944,2014-05-27 08:08:39,NULL,NULL,2014-05-27 08:13:56
2014-05-27 08:08:07,2,6922,2014-05-27 08:08:41,NULL,NULL,2014-05-27 08:13:26
2014-05-27 08:08:16,20,6989,2014-05-27 08:08:42,NULL,NULL,2014-05-27 08:13:51
2014-05-27 08:08:34,5,9825,2014-05-27 08:08:35,NULL,NULL,2014-05-27 08:16:30
2014-05-27 08:08:53,2,8189,2014-05-27 08:10:10,NULL,NULL,2014-05-27 08:14:23
2014-05-27 08:09:25,20,6935,2014-05-27 08:12:14,NULL,NULL,2014-05-27 08:15:27
2014-05-27 08:09:32,20,6947,2014-05-27 08:12:51,NULL,NULL,2014-05-27 08:17:39
2014-05-27 08:09:47,20,NULL,NULL,NULL,NULL,2014-05-27 08:13:02
2014-05-27 08:10:21,20,6922,2014-05-27 08:13:32,NULL,NULL,2014-05-27 08:17:04
2014-05-27 08:10:28,5,1038,2014-05-27 08:10:29,2014-05-27 08:11:38,2014-05-27 08:12:10,2014-05-27 08:15:46
2014-05-27 08:11:09,5,9826,2014-05-27 08:11:10,NULL,NULL,2014-05-27 08:16:41
2014-05-27 08:11:49,20,NULL,NULL,NULL,NULL,2014-05-27 08:13:44
2014-05-27 08:11:52,20,8076,2014-05-27 08:13:47,NULL,NULL,2014-05-27 08:16:51
2014-05-27 08:11:53,9,1038,2014-05-27 08:12:15,NULL,NULL,2014-05-27 08:17:18
2014-05-27 08:11:55,5,1039,2014-05-27 08:12:26,NULL,NULL,2014-05-27 08:18:27
2014-05-27 08:11:56,20,7531,2014-05-27 08:13:54,2014-05-27 08:14:37,2014-05-27 08:15:05,2014-05-27 08:16:29
2014-05-27 08:11:59,2,6989,2014-05-27 08:13:53,NULL,NULL,2014-05-27 08:16:04
